"0",,,,,
"Do you agree that the
support for research
at a European level
should be
strengthened?",,"agree",,"56.4%",
"Do you agree that the
support for research
at a European level
should be
strengthened?",,"mostly agree",,"41.2%",
"Do you agree that the
support for research
at a European level
should be
strengthened?",,"mostly disagree",,"0.5%",
"Do you agree that the
support for research
at a European level
should be
strengthened?",,"disagree",,"0.9%",
"Do you agree that the
support for research
at a European level
should be
strengthened?",,"don't know",,"0.9%",
"Do you agree that a
strengthened European
level research support will
have an important impact
on Europe's research
capacities and capabilities?",,"agree",,"56.7%",
"Do you agree that a
strengthened European
level research support will
have an important impact
on Europe's research
capacities and capabilities?",,"mostly agree",,"38.8%",
"Do you agree that a
strengthened European
level research support will
have an important impact
on Europe's research
capacities and capabilities?",,"mostly disagree",,"0.6%",
"Do you agree that a
strengthened European
level research support will
have an important impact
on Europe's research
capacities and capabilities?",,"disagree",,"0.4%",
"Do you agree that a
strengthened European
level research support will
have an important impact
on Europe's research
capacities and capabilities?",,"don't know",,"1.0%",
"Do you agree that a
strengthened European level
research support will contribute
significantly to Europe's
competitiveness, social welfare
and sustainability?",,"agree",,"54.6%",
"Do you agree that a
strengthened European level
research support will contribute
significantly to Europe's
competitiveness, social welfare
and sustainability?",,"mostly agree",,"37.5%",
"Do you agree that a
strengthened European level
research support will contribute
significantly to Europe's
competitiveness, social welfare
and sustainability?",,"mostly disagree",,"1.0%",
"Do you agree that a
strengthened European level
research support will contribute
significantly to Europe's
competitiveness, social welfare
and sustainability?",,"disagree",,"0.6%",
"Do you agree that a
strengthened European level
research support will contribute
significantly to Europe's
competitiveness, social welfare
and sustainability?",,"don't know",,"2.3%",
,,,,,
"1",,,,,
"Importance of
the objective","Creating European centres 
of excellence through 
collaboration between 
laboratories.",,"very important",,"48.4% "
"Importance of
the objective","Creating European centres 
of excellence through 
collaboration between 
laboratories.",,"Important",,"42.4% "
"Importance of
the objective","Creating European centres 
of excellence through 
collaboration between 
laboratories.",,"not important",,"4.5% "
"Importance of
the objective","Creating European centres 
of excellence through 
collaboration between 
laboratories.",,"Unnecessary",,"2.8% "
"Importance of
the objective","Creating European centres 
of excellence through 
collaboration between 
laboratories.",,"don't know",,"1.3% "
"Importance of
the objective","Launching European
technology initiatives",,"very important",,"41.9%"
"Importance of
the objective","Launching European
technology initiatives",,"Important",,"44.1%"
"Importance of
the objective","Launching European
technology initiatives",,"not important",,"6.3%"
"Importance of
the objective","Launching European
technology initiatives",,"Unnecessary",,"1.5%"
"Importance of
the objective","Launching European
technology initiatives",,"don't know",,"6.1%"
"Importance of
the objective","Stimulating the creativity of
basic research through
competition between teams
at European level",,"very important",,"45.9%"
"Importance of
the objective","Stimulating the creativity of
basic research through
competition between teams
at European level",,"Important",,"35.3%"
"Importance of
the objective","Stimulating the creativity of
basic research through
competition between teams
at European level",,"not important",,"8.1%"
"Importance of
the objective","Stimulating the creativity of
basic research through
competition between teams
at European level",,"Unnecessary",,"6.4%"
"Importance of
the objective","Stimulating the creativity of
basic research through
competition between teams
at European level",,"don't know",,"4.2%"
,,,,,
"2",,,,,
"Importance of
the objective","Making Europe more 
attractive to the best 
researchers",,"very important",,"73.6% "
"Importance of
the objective","Making Europe more 
attractive to the best 
researchers",,"Important",,"22.5% "
"Importance of
the objective","Making Europe more 
attractive to the best 
researchers",,"not important",,"1.9% "
"Importance of
the objective","Making Europe more 
attractive to the best 
researchers",,"Unnecessary",,"0.8% "
"Importance of
the objective","Making Europe more 
attractive to the best 
researchers",,"don't know",,"1.1% "
"Importance of
the objective","Developing research
infrastructure of
European interest",,"very important",,"43.4%"
"Importance of
the objective","Developing research
infrastructure of
European interest",,"Important",,"42.4%"
"Importance of
the objective","Developing research
infrastructure of
European interest",,"not important",,"5.7%"
"Importance of
the objective","Developing research
infrastructure of
European interest",,"Unnecessary",,"1.4%"
"Importance of
the objective","Developing research
infrastructure of
European interest",,"don't know",,"6.9%"
"Importance of
the objective","Improving the coordination
of national programmes",,"very important",,"43%"
"Importance of
the objective","Improving the coordination
of national programmes",,"Important",,"41.5%"
"Importance of
the objective","Improving the coordination
of national programmes",,"not important",,"7.5%"
"Importance of
the objective","Improving the coordination
of national programmes",,"Unnecessary",,"2.9%"
"Importance of
the objective","Improving the coordination
of national programmes",,"don't know",,"5%"
,,,,,
"3",,,,,
"Type of respondent","Individual person",,"Number of 
responses",,"540 "
"Type of respondent","Individual person",,"% of
responses",,"31.3%"
"Type of respondent","University/higher education",,"Number of 
responses",,"456 "
"Type of respondent","University/higher education",,"% of
responses",,"26.4%"
"Type of respondent","Commercial organisation (including consultancy) less than 250
employees",,"Number of 
responses",,"144 "
"Type of respondent","Commercial organisation (including consultancy) less than 250
employees",,"% of
responses",,"8.3%"
"Type of respondent","Governmental body",,"Number of 
responses",,"141"
"Type of respondent","Governmental body",,"% of
responses",,"8.2%"
"Type of respondent","Commercial organisation (including consultancy) more than 250
employees",,"Number of 
responses",,"115"
"Type of respondent","Commercial organisation (including consultancy) more than 250
employees",,"% of
responses",,"6.7%"
"Type of respondent","Association (e.g. trade association, trade union, employers
association, chamber of commerce, NGO)",,"Number of 
responses",,"113 "
"Type of respondent","Association (e.g. trade association, trade union, employers
association, chamber of commerce, NGO)",,"% of
responses",,"6.5%"
"Type of respondent","Other",,"Number of 
responses",,"218 "
"Type of respondent","Other",,"% of
responses",,"12.6%"
"Type of respondent","TOTAL",,"Number of 
responses",,"1727 "
"Type of respondent","TOTAL",,"% of
responses",,"100%"
,,,,,
"4",,,,,
"Country","DE - Germany",,"Number of
responses",,"258"
"Country","DE - Germany",,"% of total
responses",,"14.9%"
"Country","UK - United Kingdom",,"Number of
responses",,"157"
"Country","UK - United Kingdom",,"% of total
responses",,"9.1%"
"Country","IT - Italy",,"Number of
responses",,"147"
"Country","IT - Italy",,"% of total
responses",,"8.5%"
"Country","BE - Belgium",,"Number of
responses",,"142"
"Country","BE - Belgium",,"% of total
responses",,"8.2%"
"Country","FR - France",,"Number of
responses",,"132"
"Country","FR - France",,"% of total
responses",,"7.6%"
"Country","ES - Spain",,"Number of
responses",,"123"
"Country","ES - Spain",,"% of total
responses",,"7.1%"
"Country","NL - Netherlands",,"Number of
responses",,"89"
"Country","NL - Netherlands",,"% of total
responses",,"5.2%"
"Country","PT - Portugal",,"Number of
responses",,"81"
"Country","PT - Portugal",,"% of total
responses",,"4.7%"
"Country","EL - Greece",,"Number of
responses",,"80"
"Country","EL - Greece",,"% of total
responses",,"4.6%"
"Country","AT - Austria",,"Number of
responses",,"79"
"Country","AT - Austria",,"% of total
responses",,"4.6%"
"Country","SV - Sweden",,"Number of
responses",,"68"
"Country","SV - Sweden",,"% of total
responses",,"3.9%"
"Country","TR - Turkey",,"Number of
responses",,"44"
"Country","TR - Turkey",,"% of total
responses",,"2.5%"
"Country","IE - Ireland",,"Number of
responses",,"33"
"Country","IE - Ireland",,"% of total
responses",,"1.9%"
"Country","NO - Norway",,"Number of
responses",,"31"
"Country","NO - Norway",,"% of total
responses",,"1.8%"
"Country","Other country",,"Number of
responses",,"30"
"Country","Other country",,"% of total
responses",,"1.7%"
"Country","RO - Romania",,"Number of
responses",,"29"
"Country","RO - Romania",,"% of total
responses",,"1.7%"
"Country","DK - Denmark",,"Number of
responses",,"28"
"Country","DK - Denmark",,"% of total
responses",,"1.6%"
"Country","CH - Switzerland",,"Number of
responses",,"25"
"Country","CH - Switzerland",,"% of total
responses",,"1.4%"
"Country","FI - Finland",,"Number of
responses",,"22"
"Country","FI - Finland",,"% of total
responses",,"1.3%"
"Country","LT - Lithuania",,"Number of
responses",,"22"
"Country","LT - Lithuania",,"% of total
responses",,"1.3%"
"Country","IL - Israel",,"Number of
responses",,"17"
"Country","IL - Israel",,"% of total
responses",,"1.0%"
"Country","PL - Poland",,"Number of
responses",,"16"
"Country","PL - Poland",,"% of total
responses",,"0.9%"
"Country","CY - Cyprus",,"Number of
responses",,"12"
"Country","CY - Cyprus",,"% of total
responses",,"0.7%"
"Country","CZ - Czech Republic",,"Number of
responses",,"10"
"Country","CZ - Czech Republic",,"% of total
responses",,"0.6%"
"Country","EE - Estonia",,"Number of
responses",,"10"
"Country","EE - Estonia",,"% of total
responses",,"0.6%"
"Country","HU - Hungary",,"Number of
responses",,"10"
"Country","HU - Hungary",,"% of total
responses",,"0.6%"
"Country","BG - Bulgaria",,"Number of
responses",,"8"
"Country","BG - Bulgaria",,"% of total
responses",,"0.5%"
"Country","SK - Slovak Republic",,"Number of
responses",,"7"
"Country","SK - Slovak Republic",,"% of total
responses",,"0.4%"
"Country","SL - Slovenia",,"Number of
responses",,"6"
"Country","SL - Slovenia",,"% of total
responses",,"0.3%"
"Country","MT - Malta",,"Number of
responses",,"5"
"Country","MT - Malta",,"% of total
responses",,"0.3%"
