"0",,,,,
"Country","Denmark",,"Student grants",,"3750"
"Country","Denmark",,"Tuition fees",,"0"
"Country","Flanders",,"Student grants",,"342"
"Country","Flanders",,"Tuition fees",,"100-600"
"Country","France",,"Student grants",,"494"
"Country","France",,"Tuition fees",,"200-850"
"Country","Germany",,"Student grants",,"374"
"Country","Germany",,"Tuition fees",,"0"
"Country","Netherlands",,"Student grants",,"1750"
"Country","Netherlands",,"Tuition fees",,"1300"
"Country","Sweden",,"Student grants",,"2150"
"Country","Sweden",,"Tuition fees",,"0"
"Country","United Kingdom",,"Student grants",,"700"
"Country","United Kingdom",,"Tuition fees",,"1700"
