"0",,,,,
"Database","First Sending (4.444 contacts)",,"Initial sending ",,"4 July 06 "
"Database","First Sending (4.444 contacts)",,"Reminder 1 ",,"19 July 06 "
"Database","First Sending (4.444 contacts)",,"Final Reminder",,"22 September 06"
"Database","Second Sending (4.115 contacts) ",,"Initial sending ",,"26 July 06 "
"Database","Second Sending (4.115 contacts) ",,"Reminder 1 ",,"4 August 06 "
"Database","Second Sending (4.115 contacts) ",,"Final Reminder",,"22 September 06"
"Database","Marie Curie contacts (2.731 contacts) ",,"Initial sending ",,"20 July 06 "
"Database","Marie Curie contacts (2.731 contacts) ",,"Reminder 1 ",,"4 September 06 "
"Database","Marie Curie contacts (2.731 contacts) ",,"Final Reminder",,"22 September 06"
"Database","ERACAREERS portal email list (6.000 
researchers + 1.500 organisations)",,"Initial sending ",,"20 July 06 "
"Database","ERACAREERS portal email list (6.000 
researchers + 1.500 organisations)",,"Reminder 1 ",,"N/A "
"Database","ERACAREERS portal email list (6.000 
researchers + 1.500 organisations)",,"Final Reminder",,"N/A"
"Database","Contacts Austria conference (200 
contacts)",,"Initial sending ",,"20 July 06 "
"Database","Contacts Austria conference (200 
contacts)",,"Reminder 1 ",,"N/A "
"Database","Contacts Austria conference (200 
contacts)",,"Final Reminder",,"N/A"
"Database","Third Sending (822 contacts)",,"Initial sending ",,"15 September 06 "
"Database","Third Sending (822 contacts)",,"Reminder 1 ",,"N/A "
"Database","Third Sending (822 contacts)",,"Final Reminder",,"22 September 06"
