"1",,,,,,
"Country","AT",,"Gross sample *","Number",,"848"
"Country","AT",,"Gross sample *","Percent",,"3,6"
"Country","AT",,"Net sample **","Number",,"639"
"Country","AT",,"Net sample **","Percent",,"4,0"
"Country","AT",,"Participants","Number",,"464"
"Country","AT",,"Participants","Percent",,"5,9"
"Country","AT",,"Return rate",,"72,6",
"Country","BE",,"Gross sample *","Number",,"578"
"Country","BE",,"Gross sample *","Percent",,"2,5"
"Country","BE",,"Net sample **","Number",,"402"
"Country","BE",,"Net sample **","Percent",,"2,5"
"Country","BE",,"Participants","Number",,"177"
"Country","BE",,"Participants","Percent",,"2,2"
"Country","BE",,"Return rate",,"44,0",
"Country","BG",,"Gross sample *","Number",,"58"
"Country","BG",,"Gross sample *","Percent",,"0,2"
"Country","BG",,"Net sample **","Number",,"32"
"Country","BG",,"Net sample **","Percent",,"0,2"
"Country","BG",,"Participants","Number",,"7"
"Country","BG",,"Participants","Percent",,"0,1"
"Country","BG",,"Return rate",,"21,9",
"Country","CY",,"Gross sample *","Number",,"7"
"Country","CY",,"Gross sample *","Percent",,"0,0"
"Country","CY",,"Net sample **","Number",,"4"
"Country","CY",,"Net sample **","Percent",,"0,0"
"Country","CY",,"Participants","Number",,"0"
"Country","CY",,"Participants","Percent",,"0,0"
"Country","CY",,"Return rate",,"0,0",
"Country","CZ",,"Gross sample *","Number",,"586"
"Country","CZ",,"Gross sample *","Percent",,"2,5"
"Country","CZ",,"Net sample **","Number",,"423"
"Country","CZ",,"Net sample **","Percent",,"2,7"
"Country","CZ",,"Participants","Number",,"194"
"Country","CZ",,"Participants","Percent",,"2,5"
"Country","CZ",,"Return rate",,"45,9",
"Country","DE",,"Gross sample *","Number",,"2870"
"Country","DE",,"Gross sample *","Percent",,"12,2"
"Country","DE",,"Net sample **","Number",,"2269"
"Country","DE",,"Net sample **","Percent",,"14,2"
"Country","DE",,"Participants","Number",,"1523"
"Country","DE",,"Participants","Percent",,"19,3"
"Country","DE",,"Return rate",,"67,1",
"Country","DK",,"Gross sample *","Number",,"549"
"Country","DK",,"Gross sample *","Percent",,"2,3"
"Country","DK",,"Net sample **","Number",,"368"
"Country","DK",,"Net sample **","Percent",,"2,3"
"Country","DK",,"Participants","Number",,"167"
