"0",,,,,
"Negotiated wages",,"2010 ",,"1.7 ",
"Negotiated wages",,"2011 ",,"2.0 ",
"Negotiated wages",,"2010 
Q4",,"1.6 ",
"Negotiated wages",,"2011 
Q1",,"2.0 ",
"Negotiated wages",,"2011 
Q2",,"1.9 ",
"Negotiated wages",,"2011 
Q3",,"2.1 ",
"Negotiated wages",,"2011
Q4",,"2.0",
"Hourly labour cost index",,"2010 ",,"1.6 ",
"Hourly labour cost index",,"2011 ",,". ",
"Hourly labour cost index",,"2010 
Q4",,"1.7 ",
"Hourly labour cost index",,"2011 
Q1",,"2.5 ",
"Hourly labour cost index",,"2011 
Q2",,"3.2 ",
"Hourly labour cost index",,"2011 
Q3",,"2.7 ",
"Hourly labour cost index",,"2011
Q4",,".",
"Compensation per employee",,"2010 ",,"1.6 ",
"Compensation per employee",,"2011 ",,". ",
"Compensation per employee",,"2010 
Q4",,"1.6 ",
"Compensation per employee",,"2011 
Q1",,"2.4 ",
"Compensation per employee",,"2011 
Q2",,"2.5 ",
"Compensation per employee",,"2011 
Q3",,"2.4 ",
"Compensation per employee",,"2011
Q4",,".",
"Memo items:","Labour productivity",,"2010 ",,"2.4 "
"Memo items:","Labour productivity",,"2011 ",,". "
"Memo items:","Labour productivity",,"2010 
Q4",,"1.9 "
"Memo items:","Labour productivity",,"2011 
Q1",,"2.1 "
"Memo items:","Labour productivity",,"2011 
Q2",,"1.2 "
"Memo items:","Labour productivity",,"2011 
Q3",,"1.0 "
"Memo items:","Labour productivity",,"2011
Q4",,"."
"Memo items:","Unit labour costs",,"2010 ",,"-0.8 "
"Memo items:","Unit labour costs",,"2011 ",,". "
"Memo items:","Unit labour costs",,"2010 
Q4",,"-0.3 "
"Memo items:","Unit labour costs",,"2011 
Q1",,"0.3 "
"Memo items:","Unit labour costs",,"2011 
Q2",,"1.2 "
"Memo items:","Unit labour costs",,"2011 
Q3",,"1.3 "
"Memo items:","Unit labour costs",,"2011
Q4",,"."
