"0";;;;;
1;;"Management staff";"C";;"10,005.12"
1;;"executive staff";"D";;"8,026.67"
1;;"executive staff";"E";;"5,782.69"
1;;"executive staff";"F";;"4,978.39"
1;;"support staff";"G";;"3,649.69"
1;;"support staff";"H";;"3,315.89"
1;;"support staff";"I";;"2,671.02"
1;;"support staff";"K";;"2,534.73"
2;;"Management staff";"C";;"10,115.96"
2;;"executive staff";"D";;"8,120.73"
2;;"executive staff";"E";;"5,839.98"
2;;"executive staff";"F";;"5,025.75"
2;;"support staff";"G";;"3,682.41"
2;;"support staff";"H";;"3,345.20"
2;;"support staff";"I";;"2,694.15"
2;;"support staff";"K";;"2,556.57"
3;;"Management staff";"C";;"10,227.81"
3;;"executive staff";"D";;"8,215.70"
3;;"executive staff";"E";;"5,897.60"
3;;"executive staff";"F";;"5,073.58"
3;;"support staff";"G";;"3,715.56"
3;;"support staff";"H";;"3,374.86"
3;;"support staff";"I";;"2,717.53"
3;;"support staff";"K";;"2,578.84"
4;;"Management staff";"C";;"10,340.61"
4;;"executive staff";"D";;"8,311.38"
4;;"executive staff";"E";;"5,955.83"
4;;"executive staff";"F";;"5,121.86"
4;;"support staff";"G";;"3,749.09"
4;;"support staff";"H";;"3,404.62"
4;;"support staff";"I";;"2,741.15"
4;;"support staff";"K";;"2,601.09"
5;;"Management staff";"C";;"10,454.43"
5;;"executive staff";"D";;"8,407.99"
5;;"executive staff";"E";;"6,014.63"
5;;"executive staff";"F";;"5,170.56"
5;;"support staff";"G";;"3,782.80"
5;;"support staff";"H";;"3,434.67"
5;;"support staff";"I";;"2,764.80"
5;;"support staff";"K";;"2,623.69"
6;;"Management staff";"C";;"10,569.15"
6;;"executive staff";"D";;"8,505.53"
6;;"executive staff";"E";;"6,074.24"
6;;"executive staff";"F";;"5,220.25"
6;;"support staff";"G";;"3,816.78"
6;;"support staff";"H";;"3,465.70"
6;;"support staff";"I";;"2,788.74"
6;;"support staff";"K";;"2,646.59"
7;;"Management staff";"C";;"10,684.88"
7;;"executive staff";"D";;"8,603.64"
7;;"executive staff";"E";;"6,135.84"
7;;"executive staff";"F";;"5,271.08"
7;;"support staff";"G";;"3,851.20"
7;;"support staff";"H";;"3,497.05"
7;;"support staff";"I";;"2,812.93"
7;;"support staff";"K";;"2,669.45"
8;;"Management staff";"C";;"10,801.52"
8;;"executive staff";"D";;"8,702.59"
8;;"executive staff";"E";;"6,197.95"
8;;"executive staff";"F";;"5,322.33"
8;;"support staff";"G";;"3,885.85"
8;;"support staff";"H";;"3,528.73"
8;;"support staff";"I";;"2,837.16"
8;;"support staff";"K";;"2,692.56"
9;;"Management staff";"C";;"10,919.48"
9;;"executive staff";"D";;"8,802.36"
9;;"executive staff";"E";;"6,260.52"
9;;"executive staff";"F";;"5,374.10"
9;;"support staff";"G";;"3,921.38"
9;;"support staff";"H";;"3,560.50"
9;;"support staff";"I";;"2,861.57"
9;;"support staff";"K";;"2,715.83"
10;;"Management staff";"C";;"11,038.14"
10;;"executive staff";"D";;"8,903.33"
10;;"executive staff";"E";;"6,323.71"
10;;"executive staff";"F";;"5,426.22"
10;;"support staff";"G";;"3,957.41"
10;;"support staff";"H";;"3,592.41"
10;;"support staff";"I";;"2,886.47"
10;;"support staff";"K";;"2,739.55"
11;;"Management staff";"C";;"11,157.83"
11;;"executive staff";"D";;"9,004.76"
11;;"executive staff";"E";;"6,387.29"
11;;"executive staff";"F";;"5,479.05"
11;;"support staff";"G";;"3,993.87"
11;;"support staff";"H";;"3,625.12"
11;;"support staff";"I";;"2,911.37"
11;;"support staff";"K";;"2,763.16"
12;;"Management staff";"C";;"11,278.51"
12;;"executive staff";"D";;"9,107.32"
12;;"executive staff";"E";;"6,451.54"
12;;"executive staff";"F";;"5,531.97"
12;;"support staff";"G";;"4,030.78"
12;;"support staff";"H";;"3,657.75"
12;;"support staff";"I";;"2,936.74"
12;;"support staff";"K";;"2,787.23"
13;;"Management staff";"C";;"11,400.42"
13;;"executive staff";"D";;"9,210.80"
13;;"executive staff";"E";;"6,517.37"
13;;"executive staff";"F";;"5,585.55"
13;;"support staff";"G";;"4,067.65"
13;;"support staff";"H";;"3,690.67"
13;;"support staff";"I";;"2,961.95"
13;;"support staff";"K";;"2,811.19"
14;;"Management staff";"C";;"11,523.33"
14;;"executive staff";"D";;"9,314.71"
14;;"executive staff";"E";;"6,584.64"
14;;"executive staff";"F";;"5,640.10"
14;;"support staff";"G";;"4,105.10"
14;;"support staff";"H";;"3,723.94"
14;;"support staff";"I";;"2,987.57"
14;;"support staff";"K";;"2,835.64"
15;;"Management staff";"C";;"11,647.03"
15;;"executive staff";"D";;"9,420.08"
15;;"executive staff";"E";;"6,652.64"
15;;"executive staff";"F";;"5,696.20"
15;;"support staff";"G";;"4,142.72"
15;;"support staff";"H";;"3,757.46"
15;;"support staff";"I";;"3,013.95"
15;;"support staff";"K";;"2,860.25"
16;;"Management staff";"C";;"11,772.17"
16;;"executive staff";"D";;"9,525.91"
16;;"executive staff";"E";;"6,721.17"
16;;"executive staff";"F";;"5,752.55"
16;;"support staff";"G";;"4,180.72"
16;;"support staff";"H";;"3,791.14"
16;;"support staff";"I";;"3,040.64"
16;;"support staff";"K";;"2,884.86"
17;;"Management staff";"C";;"11,898.02"
17;;"executive staff";"D";;"9,633.06"
17;;"executive staff";"E";;"6,790.03"
17;;"executive staff";"F";;"5,809.57"
17;;"support staff";"G";;"4,219.02"
17;;"support staff";"H";;"3,825.25"
17;;"support staff";"I";;"3,067.63"
17;;"support staff";"K";;"2,909.90"
18;;"Management staff";"C";;"12,025.10"
18;;"executive staff";"D";;"9,740.70"
18;;"executive staff";"E";;"6,859.85"
18;;"executive staff";"F";;"5,867.05"
18;;"support staff";"G";;"4,257.88"
18;;"support staff";"H";;"3,859.66"
18;;"support staff";"I";;"3,094.75"
