"0",,,,,
"Grade",13,,"Assistants",,"– "
"Grade",13,,"Administrators",,"20%"
"Grade",12,,"Assistants",,"– "
"Grade",12,,"Administrators",,"25%"
"Grade",11,,"Assistants",,"– "
"Grade","11",,"Administrators",,"25%"
"Grade","10",,"Assistants",,"20%"
"Grade","10",,"Administrators",,"25%"
"Grade","9",,"Assistants",,"20%"
"Grade","9",,"Administrators",,"25%"
"Grade","8",,"Assistants",,"25%"
"Grade","8",,"Administrators",,"33%"
"Grade","7",,"Assistants",,"25%"
"Grade","7",,"Administrators",,"33%"
"Grade","6",,"Assistants",,"25%"
"Grade","6",,"Administrators",,"33%"
"Grade","5",,"Assistants",,"25%"
"Grade","5",,"Administrators",,"33%"
"Grade","4",,"Assistants",,"33%"
"Grade","4",,"Administrators",,"–"
"Grade","3",,"Assistants",,"33%"
"Grade","3",,"Administrators",,"–"
"Grade","2",,"Assistants",,"33%"
"Grade","2",,"Administrators",,"–"
"Grade","1",,"Assistants",,"33%"
"Grade","1",,"Administrators",,"–"
