0,,,,,,,
2009,,"Dec.",,"Total","Total
1",,"4,410.6"
2009,,"Dec.",,"Total","Index:
Dec. 2008 = 100
2",,103.0
2009,,"Dec.",,"Total","Annual
growth
rates (%)
3",,3.0
2009,,"Dec.",,"MFIs","Total
4",,566.0
2009,,"Dec.",,"MFIs","Annual
growth
rates (%)
5",,9.2
2009,,"Dec.",,"Financial corporations other than MFIs","Total
6",,350.9
2009,,"Dec.",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,5.4
2009,,"Dec.",,"Non-financial corporations","Total
8",,"3,493.7"
2009,,"Dec.",,"Non-financial corporations","Annual
growth
rates (%)
9",,1.8
2010,,"Jan.",,"Total","Total
1",,"4,242.8"
2010,,"Jan.",,"Total","Index:
Dec. 2008 = 100
2",,103.1
2010,,"Jan.",,"Total","Annual
growth
rates (%)
3",,2.9
2010,,"Jan.",,"MFIs","Total
4",,516.7
2010,,"Jan.",,"MFIs","Annual
growth
rates (%)
5",,8.3
2010,,"Jan.",,"Financial corporations other than MFIs","Total
6",,340.7
2010,,"Jan.",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,5.4
2010,,"Jan.",,"Non-financial corporations","Total
8",,"3,385.4"
2010,,"Jan.",,"Non-financial corporations","Annual
growth
rates (%)
9",,1.9
2010,,"Feb.",,"Total","Total
1",,"4,161.5"
2010,,"Feb.",,"Total","Index:
Dec. 2008 = 100
2",,103.2
2010,,"Feb.",,"Total","Annual
growth
rates (%)
3",,3.0
2010,,"Feb.",,"MFIs","Total
4",,499.3
2010,,"Feb.",,"MFIs","Annual
growth
rates (%)
5",,8.3
2010,,"Feb.",,"Financial corporations other than MFIs","Total
6",,339.2
2010,,"Feb.",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,5.4
2010,,"Feb.",,"Non-financial corporations","Total
8",,"3,323.0"
2010,,"Feb.",,"Non-financial corporations","Annual
growth
rates (%)
9",,2.0
2010,,"Mar.",,"Total","Total
1",,"4,474.4"
2010,,"Mar.",,"Total","Index:
Dec. 2008 = 100
2",,103.4
2010,,"Mar.",,"Total","Annual
growth
rates (%)
3",,2.8
2010,,"Mar.",,"MFIs","Total
4",,543.6
2010,,"Mar.",,"MFIs","Annual
growth
rates (%)
5",,7.5
2010,,"Mar.",,"Financial corporations other than MFIs","Total
6",,365.2
2010,,"Mar.",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,5.4
2010,,"Mar.",,"Non-financial corporations","Total
8",,"3,565.5"
2010,,"Mar.",,"Non-financial corporations","Annual
growth
rates (%)
9",,1.8
2010,,"Apr.",,"Total","Total
1",,"4,409.1"
2010,,"Apr.",,"Total","Index:
Dec. 2008 = 100
2",,103.4
2010,,"Apr.",,"Total","Annual
growth
rates (%)
3",,2.7
2010,,"Apr.",,"MFIs","Total
4",,508.4
2010,,"Apr.",,"MFIs","Annual
growth
rates (%)
5",,7.1
2010,,"Apr.",,"Financial corporations other than MFIs","Total
6",,345.7
2010,,"Apr.",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,5.4
2010,,"Apr.",,"Non-financial corporations","Total
8",,"3,555.0"
2010,,"Apr.",,"Non-financial corporations","Annual
growth
rates (%)
9",,1.7
2010,,"May",,"Total","Total
1",,"4,093.4"
2010,,"May",,"Total","Index:
Dec. 2008 = 100
2",,103.5
2010,,"May",,"Total","Annual
growth
rates (%)
3",,2.4
2010,,"May",,"MFIs","Total
4",,445.9
2010,,"May",,"MFIs","Annual
growth
rates (%)
5",,6.3
2010,,"May",,"Financial corporations other than MFIs","Total
6",,322.7
2010,,"May",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,5.3
2010,,"May",,"Non-financial corporations","Total
8",,"3,324.9"
2010,,"May",,"Non-financial corporations","Annual
growth
rates (%)
9",,1.5
2010,,"June",,"Total","Total
1",,"4,054.6"
2010,,"June",,"Total","Index:
Dec. 2008 = 100
2",,103.7
2010,,"June",,"Total","Annual
growth
rates (%)
3",,1.9
2010,,"June",,"MFIs","Total
4",,446.4
2010,,"June",,"MFIs","Annual
growth
rates (%)
5",,5.7
2010,,"June",,"Financial corporations other than MFIs","Total
6",,315.5
2010,,"June",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,4.4
2010,,"June",,"Non-financial corporations","Total
8",,"3,292.7"
2010,,"June",,"Non-financial corporations","Annual
growth
rates (%)
9",,1.0
2010,,"July",,"Total","Total
1",,"4,256.1"
2010,,"July",,"Total","Index:
Dec. 2008 = 100
2",,103.7
2010,,"July",,"Total","Annual
growth
rates (%)
3",,1.7
2010,,"July",,"MFIs","Total
4",,519.8
2010,,"July",,"MFIs","Annual
growth
rates (%)
5",,5.1
2010,,"July",,"Financial corporations other than MFIs","Total
6",,338.0
2010,,"July",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,4.5
2010,,"July",,"Non-financial corporations","Total
8",,"3,398.3"
2010,,"July",,"Non-financial corporations","Annual
growth
rates (%)
9",,0.9
2010,,"Aug.",,"Total","Total
1",,"4,121.2"
2010,,"Aug.",,"Total","Index:
Dec. 2008 = 100
2",,103.7
2010,,"Aug.",,"Total","Annual
growth
rates (%)
3",,1.7
2010,,"Aug.",,"MFIs","Total
4",,479.3
2010,,"Aug.",,"MFIs","Annual
growth
rates (%)
5",,5.1
2010,,"Aug.",,"Financial corporations other than MFIs","Total
6",,314.4
2010,,"Aug.",,"Financial corporations other than MFIs","Annual
growth
rates (%)
7",,4.1
2010,,"Aug.",,"Non-financial corporations","Total
8",,"3,327.5"
2010,,"Aug.",,"Non-financial corporations","Annual
growth
rates (%)
9",,0.9
