"0",,,,,
"Country","Austria",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"19,56"
"Country","Austria",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"-"
"Country","Austria",,"Difference 
(A-B)",,"- "
"Country","Austria",,"Adjustment
coefficient",,"-"
"Country","Belgium",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"22,91"
"Country","Belgium",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"31,12"
"Country","Belgium",,"Difference 
(A-B)",,"8,21 "
"Country","Belgium",,"Adjustment
coefficient",,"1,08"
"Country","Bulgaria",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"18,94"
"Country","Bulgaria",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"25,08"
"Country","Bulgaria",,"Difference 
(A-B)",,"6,14 "
"Country","Bulgaria",,"Adjustment
coefficient",,"1,06"
"Country","Croatia",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"25,62"
"Country","Croatia",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"-"
"Country","Croatia",,"Difference 
(A-B)",,"- "
"Country","Croatia",,"Adjustment
coefficient",,"-"
"Country","Cyprus",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"10,71"
"Country","Cyprus",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"15,25"
"Country","Cyprus",,"Difference 
(A-B)",,"4,54 "
"Country","Cyprus",,"Adjustment
coefficient",,"1,05"
"Country","Czech Republic",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"24,30"
"Country","Czech Republic",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"26,92"
"Country","Czech Republic",,"Difference 
(A-B)",,"2,62 "
"Country","Czech Republic",,"Adjustment
coefficient",,"1,03"
"Country","Denmark",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"12,75"
"Country","Denmark",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"10,34"
"Country","Denmark",,"Difference 
(A-B)",,"-2,41 "
"Country","Denmark",,"Adjustment
coefficient",,"0,98"
"Country","Estonia",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"27,65"
"Country","Estonia",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"25,39"
"Country","Estonia",,"Difference 
(A-B)",,"-2,26 "
"Country","Estonia",,"Adjustment
coefficient",,"0,98"
"Country","Finland",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"14,32"
"Country","Finland",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"20,83"
"Country","Finland",,"Difference 
(A-B)",,"6,51 "
"Country","Finland",,"Adjustment
coefficient",,"1,07"
"Country","France",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"32,73"
"Country","France",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"28,87"
"Country","France",,"Difference 
(A-B)",,"-3,86 "
"Country","France",,"Adjustment
coefficient",,"0,96"
"Country","Germany",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"16,95"
"Country","Germany",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"23,40"
"Country","Germany",,"Difference 
(A-B)",,"6,45 "
"Country","Germany",,"Adjustment
coefficient",,"1,06"
"Country","Greece",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"19,18"
"Country","Greece",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"19,97"
"Country","Greece",,"Difference 
(A-B)",,"0,79 "
"Country","Greece",,"Adjustment
coefficient",,"1,01"
"Country","Hungary",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"26,49"
"Country","Hungary",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"27,82"
"Country","Hungary",,"Difference 
(A-B)",,"1,33 "
"Country","Hungary",,"Adjustment
coefficient",,"1,01"
"Country","Iceland",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"16,22"
"Country","Iceland",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"15,22"
"Country","Iceland",,"Difference 
(A-B)",,"-1,00 "
"Country","Iceland",,"Adjustment
coefficient",,"0,99"
"Country","Ireland",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"14,22"
"Country","Ireland",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"12,93"
"Country","Ireland",,"Difference 
(A-B)",,"-1,29 "
"Country","Ireland",,"Adjustment
coefficient",,"0,99"
"Country","Israel",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"20,31"
"Country","Israel",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"-"
"Country","Israel",,"Difference 
(A-B)",,"- "
"Country","Israel",,"Adjustment
coefficient",,"-"
"Country","Italy",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"20,60"
"Country","Italy",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"29,38"
"Country","Italy",,"Difference 
(A-B)",,"8,78 "
"Country","Italy",,"Adjustment
coefficient",,"1,09"
"Country","Latvia",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"-"
"Country","Latvia",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"20,69"
"Country","Latvia",,"Difference 
(A-B)",,"- "
"Country","Latvia",,"Adjustment
coefficient",,"-"
"Country","Lithuania",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"28,73"
"Country","Lithuania",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"28,23"
"Country","Lithuania",,"Difference 
(A-B)",,"-0,50 "
"Country","Lithuania",,"Adjustment
coefficient",,"0,99"
"Country","Luxembourg",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"14,01"
"Country","Luxembourg",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"15,37"
"Country","Luxembourg",,"Difference 
(A-B)",,"1,36 "
"Country","Luxembourg",,"Adjustment
coefficient",,"1,01"
"Country","Malta",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"7,53"
"Country","Malta",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"8,13"
"Country","Malta",,"Difference 
(A-B)",,"0,60 "
"Country","Malta",,"Adjustment
coefficient",,"1,01"
"Country","Netherlands",,"A - % of employer's
charges from the total
yearly salary average
(STUDY RESULTS)",,"20,65"
"Country","Netherlands",,"B - % of employer's
charges from the total
yearly salary average
(EUROSTAT DATA)",,"21,40"
"Country","Netherlands",,"Difference 
(A-B)",,"0,75 "
"Country","Netherlands",,"Adjustment
coefficient",,"1,01"
