"0",,,,,
"Country ","Latvia ",,"Valid replies 
per country",,"7 "
"Country ","Latvia ",,"Number of 
researchers per 
country (1)",,"8.002 "
"Country ","Latvia ",,"d (2)",,"0,37027"
"Country ","Latvia ",,"Accuracy Level",,"Low"
"Country ","Malta ",,"Valid replies 
per country",,"18 "
"Country ","Malta ",,"Number of 
researchers per 
country (1)",,"975 "
"Country ","Malta ",,"d (2)",,"0,22896"
"Country ","Malta ",,"Accuracy Level",,"Low"
"Country ","Iceland ",,"Valid replies 
per country",,"18 "
"Country ","Iceland ",,"Number of 
researchers per 
country (1)",,"5.466 "
"Country ","Iceland ",,"d (2)",,"0,23063"
"Country ","Iceland ",,"Accuracy Level",,"Low"
"Country ","Luxembourg ",,"Valid replies 
per country",,"22 "
"Country ","Luxembourg ",,"Number of 
researchers per 
country (1)",,"4.135 "
"Country ","Luxembourg ",,"d (2)",,"0,20841"
"Country ","Luxembourg ",,"Accuracy Level",,"Low"
"Country ","Israel ",,"Valid replies 
per country",,"25 "
"Country ","Israel ",,"Number of 
researchers per 
country (1)",,"30.700 "
"Country ","Israel ",,"d (2)",,"0,19592"
"Country ","Israel ",,"Accuracy Level",,"Low"
"Country ","Cyprus ",,"Valid replies 
per country",,"45 "
"Country ","Cyprus ",,"Number of 
researchers per 
country (1)",,"2.102 "
"Country ","Cyprus ",,"d (2)",,"0,14455"
"Country ","Cyprus ",,"Accuracy Level",,"Medium"
"Country ","Estonia ",,"Valid replies 
per country",,"46 "
"Country ","Estonia ",,"Number of 
researchers per 
country (1)",,"7.600 "
"Country ","Estonia ",,"d (2)",,"0,14406"
"Country ","Estonia ",,"Accuracy Level",,"Medium"
"Country ","Bulgaria ",,"Valid replies 
per country",,"52 "
"Country ","Bulgaria ",,"Number of 
researchers per 
country (1)",,"17.400 "
"Country ","Bulgaria ",,"d (2)",,"0,13570"
"Country ","Bulgaria ",,"Accuracy Level",,"Medium"
"Country ","Slovenia ",,"Valid replies 
per country",,"56 "
"Country ","Slovenia ",,"Number of 
researchers per 
country (1)",,"12.501 "
"Country ","Slovenia ",,"d (2)",,"0,13067"
"Country ","Slovenia ",,"Accuracy Level",,"Medium"
"Country ","Switzerland ",,"Valid replies 
per country",,"64 "
"Country ","Switzerland ",,"Number of 
researchers per 
country (1)",,"68.465 "
"Country ","Switzerland ",,"d (2)",,"0,12244"
"Country ","Switzerland ",,"Accuracy Level",,"Medium"
"Country ","Austria ",,"Valid replies 
per country",,"78 "
"Country ","Austria ",,"Number of 
researchers per 
country (1)",,"65.725 "
"Country ","Austria ",,"d (2)",,"0,11090"
"Country ","Austria ",,"Accuracy Level",,"Medium"
"Country ","Czech Republic ",,"Valid replies 
per country",,"78 "
"Country ","Czech Republic ",,"Number of 
researchers per 
country (1)",,"55.699 "
"Country ","Czech Republic ",,"d (2)",,"0,11089"
"Country ","Czech Republic ",,"Accuracy Level",,"Medium"
"Country ","Lithuania ",,"Valid replies 
per country",,"95 "
"Country ","Lithuania ",,"Number of 
researchers per 
country (1)",,"14.534 "
"Country ","Lithuania ",,"d (2)",,"0,10022"
"Country ","Lithuania ",,"Accuracy Level",,"Medium"
"Country ","Turkey ",,"Valid replies 
per country",,"96 "
"Country ","Turkey ",,"Number of 
researchers per 
country (1)",,"79.958 "
"Country ","Turkey ",,"d (2)",,"0,09996"
"Country ","Turkey ",,"Accuracy Level",,"High"
"Country ","Netherlands ",,"Valid replies 
per country",,"105 "
"Country ","Netherlands ",,"Number of 
researchers per 
country (1)",,"122.250 "
"Country ","Netherlands ",,"d (2)",,"0,09560"
"Country ","Netherlands ",,"Accuracy Level",,"High"
"Country ","Romania ",,"Valid replies 
per country",,"110 "
"Country ","Romania ",,"Number of 
researchers per 
country (1)",,"39.985 "
"Country ","Romania ",,"d (2)",,"0,09331"
"Country ","Romania ",,"Accuracy Level",,"High"
"Country ","Greece ",,"Valid replies 
per country",,"115 "
"Country ","Greece ",,"Number of 
researchers per 
country (1)",,"57.257 "
"Country ","Greece ",,"d (2)",,"0,09129"
"Country ","Greece ",,"Accuracy Level",,"High"
"Country ","Poland ",,"Valid replies 
per country",,"121 "
"Country ","Poland ",,"Number of 
researchers per 
country (1)",,"126.241 "
"Country ","Poland ",,"d (2)",,"0,08905"
"Country ","Poland ",,"Accuracy Level",,"High"
"Country ","Sweden ",,"Valid replies 
per country",,"125 "
"Country ","Sweden ",,"Number of 
researchers per 
country (1)",,"108.146 "
"Country ","Sweden ",,"d (2)",,"0,08760"
"Country ","Sweden ",,"Accuracy Level",,"High"
"Country ","Croatia ",,"Valid replies 
per country",,"144 "
"Country ","Croatia ",,"Number of 
researchers per 
country (1)",,"17.216 "
"Country ","Croatia ",,"d (2)",,"0,08133"
"Country ","Croatia ",,"Accuracy Level",,"High"
"Country ","Denmark ",,"Valid replies 
per country",,"153 "
"Country ","Denmark ",,"Number of 
researchers per 
country (1)",,"61.809 "
"Country ","Denmark ",,"d (2)",,"0,07913"
"Country ","Denmark ",,"Accuracy Level",,"High"
"Country ","Belgium ",,"Valid replies 
per country",,"161 "
"Country ","Belgium ",,"Number of 
researchers per 
country (1)",,"73.763 "
"Country ","Belgium ",,"d (2)",,"0,07715"
"Country ","Belgium ",,"Accuracy Level",,"High"
"Country ","Slovakia ",,"Valid replies 
per country",,"176 "
"Country ","Slovakia ",,"Number of 
researchers per 
country (1)",,"20.928 "
"Country ","Slovakia ",,"d (2)",,"0,07356"
"Country ","Slovakia ",,"Accuracy Level",,"High"
"Country ","Hungary ",,"Valid replies 
per country",,"187 "
"Country ","Hungary ",,"Number of 
researchers per 
country (1)",,"48.681 "
"Country ","Hungary ",,"d (2)",,"0,07153"
"Country ","Hungary ",,"Accuracy Level",,"High"
"Country ","Norway ",,"Valid replies 
per country",,"195 "
"Country ","Norway ",,"Number of 
researchers per 
country (1)",,"51.175 "
"Country ","Norway ",,"d (2)",,"0,07005"
"Country ","Norway ",,"Accuracy Level",,"High"
"Country ","Finland ",,"Valid replies 
per country",,"202 "
"Country ","Finland ",,"Number of 
researchers per 
country (1)",,"74.773 "
"Country ","Finland ",,"d (2)",,"0,06886"
"Country ","Finland ",,"Accuracy Level",,"High"
"Country ","Ireland ",,"Valid replies 
per country",,"217 "
"Country ","Ireland ",,"Number of 
researchers per 
country (1)",,"25.704 "
"Country ","Ireland ",,"d (2)",,"0,06625"
"Country ","Ireland ",,"Accuracy Level",,"High"
"Country ","France ",,"Valid replies 
per country",,"435 "
"Country ","France ",,"Number of 
researchers per 
country (1)",,"415.061 "
"Country ","France ",,"d (2)",,"0,04696"
"Country ","France ",,"Accuracy Level",,"Excellent"
"Country ","Portugal ",,"Valid replies 
per country",,"535 "
"Country ","Portugal ",,"Number of 
researchers per 
country (1)",,"44.036 "
"Country ","Portugal ",,"d (2)",,"0,04211"
"Country ","Portugal ",,"Accuracy Level",,"Excellent"
"Country ","United Kingdom ",,"Valid replies 
per country",,"586 "
"Country ","United Kingdom ",,"Number of 
researchers per 
country (1)",,"163.000 "
"Country ","United Kingdom ",,"d (2)",,"0,04041"
"Country ","United Kingdom ",,"Accuracy Level",,"Excellent"
"Country ","Spain ",,"Valid replies 
per country",,"617 "
"Country ","Spain ",,"Number of 
researchers per 
country (1)",,"249.969 "
"Country ","Spain ",,"d (2)",,"0,03940"
"Country ","Spain ",,"Accuracy Level",,"Excellent"
"Country ","Italy ",,"Valid replies 
per country",,"639 "
"Country ","Italy ",,"Number of 
researchers per 
country (1)",,"249.782 "
"Country ","Italy ",,"d (2)",,"0,03872"
"Country ","Italy ",,"Accuracy Level",,"Excellent"
"Country ","Germany ",,"Valid replies 
per country",,"667 "
"Country ","Germany ",,"Number of 
researchers per 
country (1)",,"664.731 "
"Country ","Germany ",,"d (2)",,"0,03793"
"Country ","Germany ",,"Accuracy Level",,"Excellent"
,,,,,
"1",,,,,
"Country","Austria",,"Valid replies 
per country",,"77"
"Country","Austria",,"Marie Curie 
replies",,"1"
"Country","Austria",,"Total",,"78"
"Country","Belgium",,"Valid replies 
per country",,"159"
"Country","Belgium",,"Marie Curie 
replies",,"2"
"Country","Belgium",,"Total",,"161"
"Country","Bulgaria",,"Valid replies 
per country",,"52"
"Country","Bulgaria",,"Marie Curie 
replies",,"0"
"Country","Bulgaria",,"Total",,"52"
"Country","Croatia",,"Valid replies 
per country",,"144"
"Country","Croatia",,"Marie Curie 
replies",,"0"
"Country","Croatia",,"Total",,"144"
"Country","Cyprus",,"Valid replies 
per country",,"43"
"Country","Cyprus",,"Marie Curie 
replies",,"2"
"Country","Cyprus",,"Total",,"45"
"Country","Czech Republic",,"Valid replies 
per country",,"78"
"Country","Czech Republic",,"Marie Curie 
replies",,"0"
"Country","Czech Republic",,"Total",,"78"
"Country","Denmark",,"Valid replies 
per country",,"151"
"Country","Denmark",,"Marie Curie 
replies",,"2"
"Country","Denmark",,"Total",,"153"
"Country","Estonia",,"Valid replies 
per country",,"46"
"Country","Estonia",,"Marie Curie 
replies",,"0"
"Country","Estonia",,"Total",,"46"
"Country","Finland",,"Valid replies 
per country",,"201"
"Country","Finland",,"Marie Curie 
replies",,"1"
"Country","Finland",,"Total",,"202"
"Country","France",,"Valid replies 
per country",,"428"
"Country","France",,"Marie Curie 
replies",,"7"
"Country","France",,"Total",,"435"
"Country","Germany",,"Valid replies 
per country",,"646"
"Country","Germany",,"Marie Curie 
replies",,"21"
"Country","Germany",,"Total",,"667"
"Country","Greece",,"Valid replies 
per country",,"113"
"Country","Greece",,"Marie Curie 
replies",,"2"
"Country","Greece",,"Total",,"115"
"Country","Hungary",,"Valid replies 
per country",,"187"
"Country","Hungary",,"Marie Curie 
replies",,"0"
"Country","Hungary",,"Total",,"187"
"Country","Iceland",,"Valid replies 
per country",,"18"
"Country","Iceland",,"Marie Curie 
replies",,"0"
"Country","Iceland",,"Total",,"18"
"Country","Ireland",,"Valid replies 
per country",,"213"
"Country","Ireland",,"Marie Curie 
replies",,"4"
"Country","Ireland",,"Total",,"217"
"Country","Israel",,"Valid replies 
per country",,"25"
"Country","Israel",,"Marie Curie 
replies",,"0"
"Country","Israel",,"Total",,"25"
"Country","Italy",,"Valid replies 
per country",,"627"
"Country","Italy",,"Marie Curie 
replies",,"12"
"Country","Italy",,"Total",,"639"
"Country","Latvia",,"Valid replies 
per country",,"7"
"Country","Latvia",,"Marie Curie 
replies",,"0"
"Country","Latvia",,"Total",,"7"
"Country","Lithuania",,"Valid replies 
per country",,"94"
"Country","Lithuania",,"Marie Curie 
replies",,"0"
"Country","Lithuania",,"Total",,"95"
"Country","Luxembourg",,"Valid replies 
per country",,"22"
"Country","Luxembourg",,"Marie Curie 
replies",,"0"
"Country","Luxembourg",,"Total",,"22"
"Country","Malta",,"Valid replies 
per country",,"18"
"Country","Malta",,"Marie Curie 
replies",,"0"
"Country","Malta",,"Total",,"18"
"Country","Netherlands",,"Valid replies 
per country",,"104"
"Country","Netherlands",,"Marie Curie 
replies",,"1"
"Country","Netherlands",,"Total",,"105"
"Country","Norway",,"Valid replies 
per country",,"195"
"Country","Norway",,"Marie Curie 
replies",,"0"
"Country","Norway",,"Total",,"195"
"Country","Poland",,"Valid replies 
per country",,"120"
"Country","Poland",,"Marie Curie 
replies",,"1"
"Country","Poland",,"Total",,"121"
"Country","Portugal",,"Valid replies 
per country",,"532"
"Country","Portugal",,"Marie Curie 
replies",,"3"
"Country","Portugal",,"Total",,"535"
"Country","Romania",,"Valid replies 
per country",,"110"
"Country","Romania",,"Marie Curie 
replies",,"0"
"Country","Romania",,"Total",,"110"
"Country","Slovakia",,"Valid replies 
per country",,"176"
"Country","Slovakia",,"Marie Curie 
replies",,"0"
"Country","Slovakia",,"Total",,"176"
"Country","Slovenia",,"Valid replies 
per country",,"56"
"Country","Slovenia",,"Marie Curie 
replies",,"0"
"Country","Slovenia",,"Total",,"56"
"Country","Spain",,"Valid replies 
per country",,"614"
"Country","Spain",,"Marie Curie 
replies",,"3"
"Country","Spain",,"Total",,"617"
"Country","Sweden",,"Valid replies 
per country",,"122"
"Country","Sweden",,"Marie Curie 
replies",,"3"
"Country","Sweden",,"Total",,"125"
"Country","Switzerland",,"Valid replies 
per country",,"64"
"Country","Switzerland",,"Marie Curie 
replies",,"0"
"Country","Switzerland",,"Total",,"64"
"Country","Turkey",,"Valid replies 
per country",,"96"
"Country","Turkey",,"Marie Curie 
replies",,"0"
"Country","Turkey",,"Total",,"96"
"Country","United Kingdom",,"Valid replies 
per country",,"572"
"Country","United Kingdom",,"Marie Curie 
replies",,"14"
"Country","United Kingdom",,"Total",,"586"
"Country","TOTAL",,"Valid replies 
per country",,"6110"
"Country","TOTAL",,"Marie Curie 
replies",,"80"
"Country","TOTAL",,"Total",,"6190"
