"0",,,,,
"Country","Austria",,"Net Yearly Salary
average",,"31.552"
"Country","Belgium",,"Net Yearly Salary
average",,"25.408"
"Country","Bulgaria",,"Net Yearly Salary
average",,"3.361"
"Country","Croatia",,"Net Yearly Salary
average",,"12.477"
"Country","Cyprus",,"Net Yearly Salary
average",,"33.865"
"Country","Czech Republic",,"Net Yearly Salary
average",,"11.514"
"Country","Denmark",,"Net Yearly Salary
average",,"35.874"
"Country","Estonia",,"Net Yearly Salary
average",,"7.865"
"Country","Finland",,"Net Yearly Salary
average",,"26.268"
"Country","France",,"Net Yearly Salary
average",,"30.030"
"Country","Germany",,"Net Yearly Salary
average",,"28.351"
"Country","Greece",,"Net Yearly Salary
average",,"20.105"
"Country","Hungary",,"Net Yearly Salary
average",,"9.423"
"Country","Iceland",,"Net Yearly Salary
average",,"33.936"
"Country","Ireland",,"Net Yearly Salary
average",,"34.930"
"Country","Israel",,"Net Yearly Salary
average",,"26.703"
"Country","Italy",,"Net Yearly Salary
average",,"21.821"
"Country","Latvia",,"Net Yearly Salary
average",,"9.150"
"Country","Lithuania",,"Net Yearly Salary
average",,"6.340"
"Country","Luxembourg",,"Net Yearly Salary
average",,"45.847"
"Country","Malta",,"Net Yearly Salary
average",,"19.688"
"Country","Netherlands",,"Net Yearly Salary
average",,"36.791"
"Country","Norway",,"Net Yearly Salary
average",,"39.407"
"Country","Poland",,"Net Yearly Salary
average",,"8.059"
"Country","Portugal",,"Net Yearly Salary
average",,"18.111"
"Country","Romania",,"Net Yearly Salary
average",,"5.766"
"Country","Slovakia",,"Net Yearly Salary
average",,"6.055"
"Country","Slovenia",,"Net Yearly Salary
average",,"14.279"
"Country","Spain",,"Net Yearly Salary
average",,"22.930"
"Country","Sweden",,"Net Yearly Salary
average",,"28.075"
"Country","Switzerland",,"Net Yearly Salary
average",,"64.123"
"Country","Turkey",,"Net Yearly Salary
average",,"14.565"
"Country","United Kingdom",,"Net Yearly Salary
average",,"37.001"
