"1",,,,,
"Knowledge and awareness of different cultures",,"Involvement of pupils in","Preperation and
planing",,"0,2885"
"Knowledge and awareness of different cultures",,"Involvement of pupils in","Production of
materials",,"0,3974"
"Knowledge and awareness of different cultures",,"Involvement of pupils in","Presentation and
evaluation",,"0,3904"
"Foreign language competence",,"Involvement of pupils in","Preperation and
planing",,"0,3057"
"Foreign language competence",,"Involvement of pupils in","Production of
materials",,"0,4184"
"Foreign language competence",,"Involvement of pupils in","Presentation and
evaluation",,"0,3899"
"Social skills and abilities",,"Involvement of pupils in","Preperation and
planing",,"0,3416"
"Social skills and abilities",,"Involvement of pupils in","Production of
materials",,"0,3369"
"Social skills and abilities",,"Involvement of pupils in","Presentation and
evaluation",,"0,4303"
"Acquaintance of special knowledge",,"Involvement of pupils in","Preperation and
planing",,"0,2569"
"Acquaintance of special knowledge",,"Involvement of pupils in","Production of
materials",,"0,2909"
"Acquaintance of special knowledge",,"Involvement of pupils in","Presentation and
evaluation",,"0,3557"
"Self competence",,"Involvement of pupils in","Preperation and
planing",,"0,3791"
"Self competence",,"Involvement of pupils in","Production of
materials",,"0,3320"
"Self competence",,"Involvement of pupils in","Presentation and
evaluation",,"0,4617"
,,,,,
"2",,,,,
"Impacts on participating pupils","Knowledge and awareness of different cultures",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,1651"
"Impacts on participating pupils","Knowledge and awareness of different cultures",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2742"
"Impacts on participating pupils","Knowledge and awareness of different cultures",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1618"
"Impacts on participating pupils","Foreign language competence",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,0857"
"Impacts on participating pupils","Foreign language competence",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,1804"
"Impacts on participating pupils","Foreign language competence",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1337"
"Impacts on participating pupils","Social skills and abilities",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,1237"
"Impacts on participating pupils","Social skills and abilities",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2328"
"Impacts on participating pupils","Social skills and abilities",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1473"
"Impacts on participating pupils","Acquaintance of special knowledge",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,1355"
"Impacts on participating pupils","Acquaintance of special knowledge",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2008"
"Impacts on participating pupils","Acquaintance of special knowledge",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1234"
"Impacts on participating pupils","Self competence",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,1291"
"Impacts on participating pupils","Self competence",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,2466"
"Impacts on participating pupils","Self competence",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1636"
"Impacts on participating teachers","Knowledge/appreciation of school system and
education in the partner countries",,"Difficulties encountered with respect to","Lack of interest/
acceptance from
colleagues","-0,1505"
"Impacts on participating teachers","Knowledge/appreciation of school system and
education in the partner countries",,"Difficulties encountered with respect to","Lack of interest of
pupils","-0,1636"
"Impacts on participating teachers","Knowledge/appreciation of school system and
education in the partner countries",,"Difficulties encountered with respect to","Lack of interest of
parents","-0,1349"
