"0",,,,,
"Year ","2000",,"Yearbook
sales",,"715 "
"Year ","2000",,"Yearbook
free
distribution",,"1203 "
"Year ","2000",,"Iris
sales",,"295 "
"Year ","2000",,"Iris free
distribution",,"602"
"Year ","2000",,"Iris plus
sales",,"- "
"Year ","2000",,"Iris plus
free
distribution",,"- "
"Year ","2000",,"Iris
special
sales",,"- "
"Year ","2001",,"Yearbook
sales",,"375 "
"Year ","2001",,"Yearbook
free
distribution",,"984 "
"Year ","2001",,"Iris
sales",,"235 "
"Year ","2001",,"Iris free
distribution",,"465 "
"Year ","2001",,"Iris plus
sales",,"235 "
"Year ","2001",,"Iris plus
free
distribution",,"550 "
"Year ","2001",,"Iris
special
sales",,"78"
"Year ","2002",,"Yearbook
sales",,"324 "
"Year ","2002",,"Yearbook
free
distribution",,"680 "
"Year ","2002",,"Iris
sales",,"210 "
"Year ","2002",,"Iris free
distribution",,"500 "
"Year ","2002",,"Iris plus
sales",,"210 "
"Year ","2002",,"Iris plus
free
distribution",,"575 "
"Year ","2002",,"Iris
special
sales",,"228"
"Year ","2003",,"Yearbook
sales",,"357 "
"Year ","2003",,"Yearbook
free
distribution",,"875 "
"Year ","2003",,"Iris
sales",,"231 "
"Year ","2003",,"Iris free
distribution",,"450 "
"Year ","2003",,"Iris plus
sales",,"231 "
"Year ","2003",,"Iris plus
free
distribution",,"550 "
"Year ","2003",,"Iris
special
sales",,"242"
"Year ","2004",,"Yearbook
sales",,"335 "
"Year ","2004",,"Yearbook
free
distribution",,"890 "
"Year ","2004",,"Iris
sales",,"221 "
"Year ","2004",,"Iris free
distribution",,"500 "
"Year ","2004",,"Iris plus
sales",,"221 "
"Year ","2004",,"Iris plus
free
distribution",,"550 "
"Year ","2004",,"Iris
special
sales",,"358"
"Year ","2005",,"Yearbook
sales",,"316 "
"Year ","2005",,"Yearbook
free
distribution",,"890 "
"Year ","2005",,"Iris
sales",,"175 "
"Year ","2005",,"Iris free
distribution",,"650 "
"Year ","2005",,"Iris plus
sales",,"175 "
"Year ","2005",,"Iris plus
free
distribution",,"750 "
"Year ","2005",,"Iris
special
sales",,"602"
"Year ","2006",,"Yearbook
sales",,"350 "
"Year ","2006",,"Yearbook
free
distribution",,"800 "
"Year ","2006",,"Iris
sales",,"168 "
"Year ","2006",,"Iris free
distribution",,"700 "
"Year ","2006",,"Iris plus
sales",,"168 "
"Year ","2006",,"Iris plus
free
distribution",,"650 "
"Year ","2006",,"Iris
special
sales",,"650 "
