0,,,,,,,,
2008,,"Q4",,"Total
1",,70.1,,
2008,,"Q4",,"Financial instruments","Currency and deposits
2",,2.3,
2008,,"Q4",,"Financial instruments","Loans
3",,11.5,
2008,,"Q4",,"Financial instruments","Short-term securities
4",,6.7,
2008,,"Q4",,"Financial instruments","Long-term securities
5",,49.6,
2009,,"Q1",,"Total
1",,73.8,,
2009,,"Q1",,"Financial instruments","Currency and deposits
2",,2.3,
2009,,"Q1",,"Financial instruments","Loans
3",,11.8,
2009,,"Q1",,"Financial instruments","Short-term securities
4",,7.9,
2009,,"Q1",,"Financial instruments","Long-term securities
5",,51.8,
2009,,"Q2",,"Total
1",,77.0,,
2009,,"Q2",,"Financial instruments","Currency and deposits
2",,2.4,
2009,,"Q2",,"Financial instruments","Loans
3",,12.2,
2009,,"Q2",,"Financial instruments","Short-term securities
4",,8.4,
2009,,"Q2",,"Financial instruments","Long-term securities
5",,54.0,
2009,,"Q3",,"Total
1",,78.9,,
2009,,"Q3",,"Financial instruments","Currency and deposits
2",,2.4,
2009,,"Q3",,"Financial instruments","Loans
3",,12.4,
2009,,"Q3",,"Financial instruments","Short-term securities
4",,9.2,
2009,,"Q3",,"Financial instruments","Long-term securities
5",,54.9,
2009,,"Q4",,"Total
1",,79.8,,
2009,,"Q4",,"Financial instruments","Currency and deposits
2",,2.5,
2009,,"Q4",,"Financial instruments","Loans
3",,12.6,
2009,,"Q4",,"Financial instruments","Short-term securities
4",,8.6,
2009,,"Q4",,"Financial instruments","Long-term securities
5",,56.2,
2010,,"Q1",,"Total
1",,81.5,,
2010,,"Q1",,"Financial instruments","Currency and deposits
2",,2.4,
2010,,"Q1",,"Financial instruments","Loans
3",,12.8,
2010,,"Q1",,"Financial instruments","Short-term securities
4",,8.4,
2010,,"Q1",,"Financial instruments","Long-term securities
5",,57.9,
2010,,"Q2",,"Total
1",,82.8,,
2010,,"Q2",,"Financial instruments","Currency and deposits
2",,2.4,
2010,,"Q2",,"Financial instruments","Loans
3",,13.4,
2010,,"Q2",,"Financial instruments","Short-term securities
4",,8.1,
2010,,"Q2",,"Financial instruments","Long-term securities
5",,59.0,
2010,,"Q3",,"Total
1",,83.0,,
2010,,"Q3",,"Financial instruments","Currency and deposits
2",,2.4,
