"0",,,,,
"Federal Department or Agency","National Science Foundation
(NSF)",,"FY 2000
Actual
($M)",,"97 "
"Federal Department or Agency","National Science Foundation
(NSF)",,"FY 2001
Actual
($M)",,"150 "
"Federal Department or Agency","National Science Foundation
(NSF)",,"FY 2002
Actual
($M)",,"204 "
"Federal Department or Agency","National Science Foundation
(NSF)",,"FY 2003
Actual
($M)",,"221 "
"Federal Department or Agency","National Science Foundation
(NSF)",,"FY 2004
Actual
($M)",,"256 "
"Federal Department or Agency","National Science Foundation
(NSF)",,"FY 2005 
Estimate
($M)",,"338 "
"Federal Department or Agency","National Science Foundation
(NSF)",,"FY 2006
Request
($M)",,"344"
"Federal Department or Agency","Department of Defense
(DOD)",,"FY 2000
Actual
($M)",,"70 "
"Federal Department or Agency","Department of Defense
(DOD)",,"FY 2001
Actual
($M)",,"125 "
"Federal Department or Agency","Department of Defense
(DOD)",,"FY 2002
Actual
($M)",,"224 "
"Federal Department or Agency","Department of Defense
(DOD)",,"FY 2003
Actual
($M)",,"322 "
"Federal Department or Agency","Department of Defense
(DOD)",,"FY 2004
Actual
($M)",,"291 "
"Federal Department or Agency","Department of Defense
(DOD)",,"FY 2005 
Estimate
($M)",,"257 "
"Federal Department or Agency","Department of Defense
(DOD)",,"FY 2006
Request
($M)",,"230"
"Federal Department or Agency","Department of Energy
(DOE)",,"FY 2000
Actual
($M)",,"58 "
"Federal Department or Agency","Department of Energy
(DOE)",,"FY 2001
Actual
($M)",,"88 "
"Federal Department or Agency","Department of Energy
(DOE)",,"FY 2002
Actual
($M)",,"89 "
"Federal Department or Agency","Department of Energy
(DOE)",,"FY 2003
Actual
($M)",,"134 "
"Federal Department or Agency","Department of Energy
(DOE)",,"FY 2004
Actual
($M)",,"202 "
"Federal Department or Agency","Department of Energy
(DOE)",,"FY 2005 
Estimate
($M)",,"210 "
"Federal Department or Agency","Department of Energy
(DOE)",,"FY 2006
Request
($M)",,"207"
"Federal Department or Agency","National Institutes of Health
(NIH)",,"FY 2000
Actual
($M)",,"32 "
"Federal Department or Agency","National Institutes of Health
(NIH)",,"FY 2001
Actual
($M)",,"40 "
"Federal Department or Agency","National Institutes of Health
(NIH)",,"FY 2002
Actual
($M)",,"59 "
"Federal Department or Agency","National Institutes of Health
(NIH)",,"FY 2003
Actual
($M)",,"78 "
"Federal Department or Agency","National Institutes of Health
(NIH)",,"FY 2004
Actual
($M)",,"106 "
"Federal Department or Agency","National Institutes of Health
(NIH)",,"FY 2005 
Estimate
($M)",,"142 "
"Federal Department or Agency","National Institutes of Health
(NIH)",,"FY 2006
Request
($M)",,"144"
"Federal Department or Agency","National Institute of Standards
and Technology (NIST)",,"FY 2000
Actual
($M)",,"8 "
"Federal Department or Agency","National Institute of Standards
and Technology (NIST)",,"FY 2001
Actual
($M)",,"33 "
"Federal Department or Agency","National Institute of Standards
and Technology (NIST)",,"FY 2002
Actual
($M)",,"77 "
"Federal Department or Agency","National Institute of Standards
and Technology (NIST)",,"FY 2003
Actual
($M)",,"64 "
"Federal Department or Agency","National Institute of Standards
and Technology (NIST)",,"FY 2004
Actual
($M)",,"77 "
"Federal Department or Agency","National Institute of Standards
and Technology (NIST)",,"FY 2005 
Estimate
($M)",,"75 "
"Federal Department or Agency","National Institute of Standards
and Technology (NIST)",,"FY 2006
Request
($M)",,"75"
