"0",,,,,,,
"Pesticide","Herbicides ",,"Year","1979","Millions of lbs. a.i.",,"610 "
"Pesticide","Herbicides ",,"Year","1980","Millions of lbs. a.i.",,"622 "
"Pesticide","Herbicides ",,"Year","1981","Millions of lbs. a.i.",,"631 "
"Pesticide","Herbicides ",,"Year","1982","Millions of lbs. a.i.",,"620 "
"Pesticide","Herbicides ",,"Year","1983","Millions of lbs. a.i.",,"573 "
"Pesticide","Herbicides ",,"Year","1984","Millions of lbs. a.i.",,"634 "
"Pesticide","Herbicides ",,"Year","1985","Millions of lbs. a.i.",,"611 "
"Pesticide","Herbicides ",,"Year","1986","Millions of lbs. a.i.",,"590 "
"Pesticide","Herbicides ",,"Year","1987","Millions of lbs. a.i.",,"532 "
"Pesticide","Herbicides ",,"Year","1988","Millions of lbs. a.i.",,"557 "
"Pesticide","Herbicides ",,"Year","1989","Millions of lbs. a.i.",,"567 "
"Pesticide","Herbicides ",,"Year","1990","Millions of lbs. a.i.",,"564 "
"Pesticide","Herbicides ",,"Year","1991","Millions of lbs. a.i.",,"546 "
"Pesticide","Herbicides ",,"Year","1992","Millions of lbs. a.i.",,"554 "
"Pesticide","Herbicides ",,"Year","1993","Millions of lbs. a.i.",,"527 "
"Pesticide","Herbicides ",,"Year","1994","Millions of lbs. a.i.",,"583 "
"Pesticide","Herbicides ",,"Year","1995","Millions of lbs. a.i.",,"556"
"Pesticide","Insecticides ",,"Year","1979","Millions of lbs. a.i.",,"255 "
"Pesticide","Insecticides ",,"Year","1980","Millions of lbs. a.i.",,"228 "
"Pesticide","Insecticides ",,"Year","1981","Millions of lbs. a.i.",,"218 "
"Pesticide","Insecticides ",,"Year","1982","Millions of lbs. a.i.",,"210 "
"Pesticide","Insecticides ",,"Year","1983","Millions of lbs. a.i.",,"204 "
"Pesticide","Insecticides ",,"Year","1984","Millions of lbs. a.i.",,"197 "
"Pesticide","Insecticides ",,"Year","1985","Millions of lbs. a.i.",,"193 "
"Pesticide","Insecticides ",,"Year","1986","Millions of lbs. a.i.",,"188 "
"Pesticide","Insecticides ",,"Year","1987","Millions of lbs. a.i.",,"152 "
"Pesticide","Insecticides ",,"Year","1988","Millions of lbs. a.i.",,"161 "
"Pesticide","Insecticides ",,"Year","1989","Millions of lbs. a.i.",,"154 "
"Pesticide","Insecticides ",,"Year","1990","Millions of lbs. a.i.",,"148 "
"Pesticide","Insecticides ",,"Year","1991","Millions of lbs. a.i.",,"141 "
"Pesticide","Insecticides ",,"Year","1992","Millions of lbs. a.i.",,"143 "
"Pesticide","Insecticides ",,"Year","1993","Millions of lbs. a.i.",,"130 "
"Pesticide","Insecticides ",,"Year","1994","Millions of lbs. a.i.",,"138 "
"Pesticide","Insecticides ",,"Year","1995","Millions of lbs. a.i.",,"137"
"Pesticide","Fungicides ",,"Year","1979","Millions of lbs. a.i.",,"124 "
"Pesticide","Fungicides ",,"Year","1980","Millions of lbs. a.i.",,"122 "
"Pesticide","Fungicides ",,"Year","1981","Millions of lbs. a.i.",,"122 "
"Pesticide","Fungicides ",,"Year","1982","Millions of lbs. a.i.",,"117 "
"Pesticide","Fungicides ",,"Year","1983","Millions of lbs. a.i.",,"115 "
"Pesticide","Fungicides ",,"Year","1984","Millions of lbs. a.i.",,"109 "
"Pesticide","Fungicides ",,"Year","1985","Millions of lbs. a.i.",,"110 "
"Pesticide","Fungicides ",,"Year","1986","Millions of lbs. a.i.",,"109 "
"Pesticide","Fungicides ",,"Year","1987","Millions of lbs. a.i.",,"100 "
"Pesticide","Fungicides ",,"Year","1988","Millions of lbs. a.i.",,"99 "
"Pesticide","Fungicides ",,"Year","1989","Millions of lbs. a.i.",,"98 "
"Pesticide","Fungicides ",,"Year","1990","Millions of lbs. a.i.",,"91 "
"Pesticide","Fungicides ",,"Year","1991","Millions of lbs. a.i.",,"86 "
"Pesticide","Fungicides ",,"Year","1992","Millions of lbs. a.i.",,"81 "
"Pesticide","Fungicides ",,"Year","1993","Millions of lbs. a.i.",,"80 "
"Pesticide","Fungicides ",,"Year","1994","Millions of lbs. a.i.",,"79 "
"Pesticide","Fungicides ",,"Year","1995","Millions of lbs. a.i.",,"77"
"Pesticide","Other Conv. ",,"Year","1979","Millions of lbs. a.i.",,"155 "
"Pesticide","Other Conv. ",,"Year","1980","Millions of lbs. a.i.",,"149 "
"Pesticide","Other Conv. ",,"Year","1981","Millions of lbs. a.i.",,"152 "
"Pesticide","Other Conv. ",,"Year","1982","Millions of lbs. a.i.",,"149 "
"Pesticide","Other Conv. ",,"Year","1983","Millions of lbs. a.i.",,"148 "
"Pesticide","Other Conv. ",,"Year","1984","Millions of lbs. a.i.",,"145 "
"Pesticide","Other Conv. ",,"Year","1985","Millions of lbs. a.i.",,"138 "
"Pesticide","Other Conv. ",,"Year","1986","Millions of lbs. a.i.",,"138 "
"Pesticide","Other Conv. ",,"Year","1987","Millions of lbs. a.i.",,"133 "
"Pesticide","Other Conv. ",,"Year","1988","Millions of lbs. a.i.",,"137 "
"Pesticide","Other Conv. ",,"Year","1989","Millions of lbs. a.i.",,"154 "
"Pesticide","Other Conv. ",,"Year","1990","Millions of lbs. a.i.",,"173 "
"Pesticide","Other Conv. ",,"Year","1991","Millions of lbs. a.i.",,"182 "
"Pesticide","Other Conv. ",,"Year","1992","Millions of lbs. a.i.",,"189 "
"Pesticide","Other Conv. ",,"Year","1993","Millions of lbs. a.i.",,"192 "
"Pesticide","Other Conv. ",,"Year","1994","Millions of lbs. a.i.",,"199 "
"Pesticide","Other Conv. ",,"Year","1995","Millions of lbs. a.i.",,"203"
"Pesticide","Other Chems. ",,"Year","1979","Millions of lbs. a.i.",,"343 "
"Pesticide","Other Chems. ",,"Year","1980","Millions of lbs. a.i.",,"321 "
"Pesticide","Other Chems. ",,"Year","1981","Millions of lbs. a.i.",,"307 "
"Pesticide","Other Chems. ",,"Year","1982","Millions of lbs. a.i.",,"298 "
"Pesticide","Other Chems. ",,"Year","1983","Millions of lbs. a.i.",,"287 "
"Pesticide","Other Chems. ",,"Year","1984","Millions of lbs. a.i.",,"284 "
"Pesticide","Other Chems. ",,"Year","1985","Millions of lbs. a.i.",,"284 "
"Pesticide","Other Chems. ",,"Year","1986","Millions of lbs. a.i.",,"278 "
"Pesticide","Other Chems. ",,"Year","1987","Millions of lbs. a.i.",,"269 "
"Pesticide","Other Chems. ",,"Year","1988","Millions of lbs. a.i.",,"266 "
"Pesticide","Other Chems. ",,"Year","1989","Millions of lbs. a.i.",,"251 "
"Pesticide","Other Chems. ",,"Year","1990","Millions of lbs. a.i.",,"252 "
"Pesticide","Other Chems. ",,"Year","1991","Millions of lbs. a.i.",,"226 "
"Pesticide","Other Chems. ",,"Year","1992","Millions of lbs. a.i.",,"246 "
"Pesticide","Other Chems. ",,"Year","1993","Millions of lbs. a.i.",,"248 "
"Pesticide","Other Chems. ",,"Year","1994","Millions of lbs. a.i.",,"244 "
"Pesticide","Other Chems. ",,"Year","1995","Millions of lbs. a.i.",,"249"
"Total",,"Year","1979","Millions of lbs. a.i.",,"1487",
"Total",,"Year","1980","Millions of lbs. a.i.",,"1442",
"Total",,"Year","1981","Millions of lbs. a.i.",,"1430",
"Total",,"Year","1982","Millions of lbs. a.i.",,"1394",
"Total",,"Year","1983","Millions of lbs. a.i.",,"1327",
"Total",,"Year","1984","Millions of lbs. a.i.",,"1369",
"Total",,"Year","1985","Millions of lbs. a.i.",,"1336",
"Total",,"Year","1986","Millions of lbs. a.i.",,"1303",
"Total",,"Year","1987","Millions of lbs. a.i.",,"1186",
