"0",,,,,,,,
"---Trends","Potential Mistake","1) Has your plan 
document been 
updated within the past 
few years to reflect 
recent law changes? 
(More) 
",,"-Tips-","How to Find the
Mistake
",,"Review annual 
cumulative list 
published close to 
year-end to see if plan 
made all required law 
changes (for example, 
Notice 2009-98). 
(More) 
",
"---Trends","Potential Mistake","1) Has your plan 
document been 
updated within the past 
few years to reflect 
recent law changes? 
(More) 
",,"-Tips-","How to Fix the Mistake","Corrective Action",,"EPCRS 
VCP: Streamlined application 
available. See Appendix F and 
schedules 1 and 2. 
Adopt amendments for missed 
law changes. 
(More) 
"
"---Trends","Potential Mistake","1) Has your plan 
document been 
updated within the past 
few years to reflect 
recent law changes? 
(More) 
",,"-Tips-","How to Fix the Mistake","Correction
Program(s)
Available
",,"VCP
Audit CAP
(More)
"
"---Trends","Potential Mistake","1) Has your plan 
document been 
updated within the past 
few years to reflect 
recent law changes? 
(More) 
",,"-Tips-","How to Avoid the Mistake",,"Resort to a calendar
(tickler) that notes when
you must complete
amendments. Review your
plan document annually.
Maintain regular contact
with the company that sold
you the plan.
(More)
",
"---Trends","Potential Mistake","2) Are the plan’s 
  operations based on 
  the terms of the plan 
  document? 
  Failure to follow plan 
  terms is a very 
  common mistake. 
  (More) 
",,"-Tips-","How to Find the
Mistake
",,"Independent review of 
plan and its operation. 
(More) 
",
"---Trends","Potential Mistake","2) Are the plan’s 
  operations based on 
  the terms of the plan 
  document? 
  Failure to follow plan 
  terms is a very 
  common mistake. 
  (More) 
",,"-Tips-","How to Fix the Mistake","Corrective Action",,"EPCRS 
Apply reasonable correction 
method that would place 
affected participants in the 
position they would have been 
in if there were no operational 
plan defects. 
(More) 
"
"---Trends","Potential Mistake","2) Are the plan’s 
  operations based on 
  the terms of the plan 
  document? 
  Failure to follow plan 
  terms is a very 
  common mistake. 
  (More) 
",,"-Tips-","How to Fix the Mistake","Correction
Program(s)
Available
",,"SCP* 
VCP 
Audit CAP 
(More) 
"
"---Trends","Potential Mistake","2) Are the plan’s 
  operations based on 
  the terms of the plan 
  document? 
  Failure to follow plan 
  terms is a very 
  common mistake. 
  (More) 
",,"-Tips-","How to Avoid the Mistake",,"Develop a communication
mechanism to make all
relevant parties aware of
changes on a timely and
accurate basis (best
practices). Perform a
review at least annually to
ensure you are following
plan terms.
(More)
",
"---Trends","Potential Mistake","3) Is the plan’s 
  definition of 
  compensation for all 
  deferrals and 
  allocations used 
  correctly? 
  (More) 
",,"-Tips-","How to Find the
Mistake
",,"Review the plan 
document. 
(More) 
",
"---Trends","Potential Mistake","3) Is the plan’s 
  definition of 
  compensation for all 
  deferrals and 
  allocations used 
  correctly? 
  (More) 
",,"-Tips-","How to Fix the Mistake","Corrective Action",,"EPCRS 
Corrective contribution or 
distribution. 
(More) 
"
"---Trends","Potential Mistake","3) Is the plan’s 
  definition of 
  compensation for all 
  deferrals and 
  allocations used 
  correctly? 
  (More) 
",,"-Tips-","How to Fix the Mistake","Correction
Program(s)
Available
",,"SCP* 
VCP 
Audit CAP 
(More) 
"
"---Trends","Potential Mistake","3) Is the plan’s 
  definition of 
  compensation for all 
  deferrals and 
  allocations used 
  correctly? 
  (More) 
",,"-Tips-","How to Avoid the Mistake",,"Perform annual reviews of
compensation definitions
and ensure that the person
in charge of determining
compensation is properly
trained to understand the
plan document.
(More)
",
