"0",,,,,
"Type","Conventional pesticides",,"Bil. of lbs.",,".97"
"Type","Conventional pesticides",,"Percent",,"21"
"Type","Other pesticide chemicals (sulfur, petroleum, etc.)",,"Bil. of lbs.",,".25"
"Type","Other pesticide chemicals (sulfur, petroleum, etc.)",,"Percent",,"6"
"Subtotal",,"Bil. of lbs.",,"1.22",
"Subtotal",,"Percent",,"27",
"Type","Wood preservatives",,"Bil. of lbs.",,".72"
"Type","Wood preservatives",,"Percent",,"16"
"Type","Specialty biocides",,"Bil. of lbs.",,".26"
"Type","Specialty biocides",,"Percent",,"6"
"Type","Chlorine/hypochlorites",,"Bil. of lbs.",,"2.32"
"Type","Chlorine/hypochlorites",,"Percent",,"51"
"Total",,"Bil. of lbs.",,"4.52",
"Total",,"Percent",,"100",
