"0",,,,,
"Tax Period","2007 payable 2008 Fall Provisional",,"Check Date",,"01-22-10"
"Tax Period","2007 payable 2008 Fall Provisional",,"Amount",,"$ 45,439.03"
"Tax Period","Penalty 2007 payable 2008 Fall Provisional",,"Check Date",,"01-22-10"
"Tax Period","Penalty 2007 payable 2008 Fall Provisional",,"Amount",,"9,087.80"
"Tax Period","2008 payable 2009 Spring Tax",,"Check Date",,"01-22-10"
"Tax Period","2008 payable 2009 Spring Tax",,"Amount",,"48,989.80"
"Tax Period","2008 payable 2009 Fall Tax",,"Check Date",,"01-22-10"
"Tax Period","2008 payable 2009 Fall Tax",,"Amount",,"48,989.80"
"Tax Period","Penalty 2008 payable 2009 Spring Tax",,"Check Date",,"01-22-10"
"Tax Period","Penalty 2008 payable 2009 Spring Tax",,"Amount",,"4,898.98"
"Tax Period","2009 payable 2010 Spring Tax",,"Check Date",,"04-14-10"
"Tax Period","2009 payable 2010 Spring Tax",,"Amount",,"45,328.50"
"Tax Period","2009 payable 2010 Fall Tax",,"Check Date",,"10-06-10"
"Tax Period","2009 payable 2010 Fall Tax",,"Amount",,"45,328.50"
"Tax Period","2010 payable 2011 Spring Tax",,"Check Date",,"04-29-11"
"Tax Period","2010 payable 2011 Spring Tax",,"Amount",,"45,436.50"
"Tax Period","2010 payable 2011 Fall Tax",,"Check Date",,"10-14-11"
"Tax Period","2010 payable 2011 Fall Tax",,"Amount",,"45,436.50"
"Total Property Taxes paid",,"Amount",,"$ 338,935.41",
,,,,,
"1",,,,,
"Fund","Retirement/Severance Bond Debt Service",,"Amount",,"$ 389,865"
"Fund","Capital Projects",,"Amount",,"694,640"
"Fund","School Transportation",,"Amount",,"1,320,677"
