"0",,,,,
"Agency","DOE**",,"2009 Actual",,"332.6"
"Agency","DOE**",,"2009 Recovery*",,"293.2"
"Agency","DOE**",,"2010 Estimated",,"372.9"
"Agency","DOE**",,"2011 Proposed",,"423.9"
"Agency","NSF",,"2009 Actual",,"408.6"
"Agency","NSF",,"2009 Recovery*",,"101.2"
"Agency","NSF",,"2010 Estimated",,"417.7"
"Agency","NSF",,"2011 Proposed",,"401.3"
"Agency","HHS/NIH",,"2009 Actual",,"342.8"
"Agency","HHS/NIH",,"2009 Recovery*",,"73.4"
"Agency","HHS/NIH",,"2010 Estimated",,"360.6"
"Agency","HHS/NIH",,"2011 Proposed",,"382.4"
"Agency","DOD***",,"2009 Actual",,"459.0"
"Agency","DOD***",,"2009 Recovery*",,"0.0"
"Agency","DOD***",,"2010 Estimated",,"436.4"
"Agency","DOD***",,"2011 Proposed",,"348.5"
"Agency","DOC/NIST",,"2009 Actual",,"93.4"
"Agency","DOC/NIST",,"2009 Recovery*",,"43.4"
"Agency","DOC/NIST",,"2010 Estimated",,"114.4"
"Agency","DOC/NIST",,"2011 Proposed",,"108.0"
"Agency","EPA",,"2009 Actual",,"11.6"
"Agency","EPA",,"2009 Recovery*",,"0.0"
"Agency","EPA",,"2010 Estimated",,"17.7"
"Agency","EPA",,"2011 Proposed",,"20.0"
"Agency","HHS/NIOSH",,"2009 Actual",,"6.7"
"Agency","HHS/NIOSH",,"2009 Recovery*",,"0.0"
"Agency","HHS/NIOSH",,"2010 Estimated",,"9.5"
"Agency","HHS/NIOSH",,"2011 Proposed",,"16.5"
"Agency","NASA",,"2009 Actual",,"13.7"
"Agency","NASA",,"2009 Recovery*",,"0.0"
"Agency","NASA",,"2010 Estimated",,"13.7"
"Agency","NASA",,"2011 Proposed",,"15.8"
"Agency","HHS/FDA",,"2009 Actual",,"6.5"
"Agency","HHS/FDA",,"2009 Recovery*",,"0.0"
"Agency","HHS/FDA",,"2010 Estimated",,"7.3"
"Agency","HHS/FDA",,"2011 Proposed",,"15.0"
"Agency","DHS",,"2009 Actual",,"9.1"
"Agency","DHS",,"2009 Recovery*",,"0.0"
"Agency","DHS",,"2010 Estimated",,"11.7"
"Agency","DHS",,"2011 Proposed",,"11.7"
"Agency","USDA/NIFA",,"2009 Actual",,"9.9"
"Agency","USDA/NIFA",,"2009 Recovery*",,"0.0"
"Agency","USDA/NIFA",,"2010 Estimated",,"10.4"
"Agency","USDA/NIFA",,"2011 Proposed",,"8.9"
"Agency","USDA/FS",,"2009 Actual",,"5.4"
"Agency","USDA/FS",,"2009 Recovery*",,"0.0"
"Agency","USDA/FS",,"2010 Estimated",,"5.4"
"Agency","USDA/FS",,"2011 Proposed",,"5.4"
"Agency","CPSC",,"2009 Actual",,"0.2"
"Agency","CPSC",,"2009 Recovery*",,"0.0"
"Agency","CPSC",,"2010 Estimated",,"0.2"
"Agency","CPSC",,"2011 Proposed",,"2.2"
"Agency","DOT/FHWA",,"2009 Actual",,"0.9"
"Agency","DOT/FHWA",,"2009 Recovery*",,"0.0"
"Agency","DOT/FHWA",,"2010 Estimated",,"3.2"
"Agency","DOT/FHWA",,"2011 Proposed",,"2.0"
"Agency","DOJ",,"2009 Actual",,"1.2"
"Agency","DOJ",,"2009 Recovery*",,"0.0"
"Agency","DOJ",,"2010 Estimated",,"0.0"
"Agency","DOJ",,"2011 Proposed",,"0.0"
"TOTAL****",,"2009 Actual",,"1,701.5",
"TOTAL****",,"2009 Recovery*",,"511.3",
"TOTAL****",,"2010 Estimated",,"1,781.1",
"TOTAL****",,"2011 Proposed",,"1,761.6",
