"0",,,,,,,
"Category","U.S. Production",,"Active Ingredient Sales Value
(in billions of lbs.)",,"1994/95",,"1.3"
"Category","U.S. Production",,"Active Ingredient Sales Value
(in billions of lbs.)",,"1994/95",,"0.2"
"Category","U.S. Imports",,"Sales Value
(in billions of dollars)",,"1994/95",,"7.0"
"Category","U.S. Imports",,"Sales Value
(in billions of dollars)",,"1994/95",,"2.2"
"Total Supply",,"Active Ingredient Sales Value
(in billions of lbs.)","1994/95",,"1.5",,
"Total Supply",,"Active Ingredient Sales Value
(in billions of lbs.)","1994/95",,"9.2",,
"Category","U.S. Exports",,"Active Ingredient Sales Value
(in billions of lbs.)",,"1994/95",,"0.5"
"Category","U.S. Exports",,"Active Ingredient Sales Value
(in billions of lbs.)",,"1994/95",,"2.6"
"Net Supply/Usage",,"Active Ingredient Sales Value
(in billions of lbs.)",,"1994/95",,"1.0",
"Net Supply/Usage",,"Active Ingredient Sales Value
(in billions of lbs.)",,"1994/95",,"6.6",
