"0",,,,,,
"Assets","Intragovernmental Assets","Fund Balance With Treasury (Note 2)",,"2011 ",,"$ 12,175,088 "
"Assets","Intragovernmental Assets","Fund Balance With Treasury (Note 2)",,"2010",,"$ 12,458,688"
"Assets","Intragovernmental Assets","Accounts Receivable",,"2011 ",,"10,726 "
"Assets","Intragovernmental Assets","Accounts Receivable",,"2010",,"14,390"
"Assets","Intragovernmental Assets","Advances",,"2011 ",,"69,228 "
"Assets","Intragovernmental Assets","Advances",,"2010",,"9,782"
"Assets","Total Intragovernmental Assets",,"2011 ",,"12,255,042",
"Assets","Total Intragovernmental Assets",,"2010",,"12,482,860",
"Assets","Cash and Other Monetary Assets",,"2011 ",,"51,380",
"Assets","Cash and Other Monetary Assets",,"2010",,"44,683",
"Assets","Accounts Receivable, Net",,"2011 ",,"186",
"Assets","Accounts Receivable, Net",,"2010",,"126",
"Assets","General Property, Plant and Equipment, Net (Notes 3 and 4)",,"2011 ",,"278,126",
"Assets","General Property, Plant and Equipment, Net (Notes 3 and 4)",,"2010",,"276,754",
"Total Assets",,"2011 ",,"$ 12,584,734 ",,
"Total Assets",,"2010",,"$ 12,804,423",,
"Liabilities","Intragovernmental Liabilities","Advances From Others",,"2011 ",,"$ 20,773 "
"Liabilities","Intragovernmental Liabilities","Advances From Others",,"2010",,"$ 42,224"
"Liabilities","Intragovernmental Liabilities","Employer Contributions",,"2011 ",,"550 "
"Liabilities","Intragovernmental Liabilities","Employer Contributions",,"2010",,"1,612"
"Liabilities","Intragovernmental Liabilities","FECA Employee Benefits",,"2011 ",,"345 "
"Liabilities","Intragovernmental Liabilities","FECA Employee Benefits",,"2010",,"340"
"Liabilities","Intragovernmental Liabilities","Other Intragovernmental Liabilities",,"2011 ",,"984 "
"Liabilities","Intragovernmental Liabilities","Other Intragovernmental Liabilities",,"2010",,"3,000"
"Liabilities","Total Intragovernmental Liabilities",,"2011 ",,"22,652 ",
"Liabilities","Total Intragovernmental Liabilities",,"2010",,"47,176",
"Liabilities","Accounts Payable",,"2011 ",,"54,016",
"Liabilities","Accounts Payable",,"2010",,"55,709",
"Liabilities","FECA Employee Benefits",,"2011 ",,"1,272",
"Liabilities","FECA Employee Benefits",,"2010",,"1,356",
"Liabilities","Accrued Liabilities - Grants",,"2011 ",,"437,269",
"Liabilities","Accrued Liabilities - Grants",,"2010",,"440,796",
"Liabilities","Accrued Liabilities - Contracts and Payroll",,"2011 ",,"48,645",
"Liabilities","Accrued Liabilities - Contracts and Payroll",,"2010",,"33,560",
"Liabilities","Accrued Annual Leave",,"2011 ",,"17,269",
"Liabilities","Accrued Annual Leave",,"2010",,"17,413",
"Total Liabilities",,"2011 ",,"$ 581,123 ",,
"Total Liabilities",,"2010",,"$ 596,010",,
"Net Position","Unexpended Appropriations - Other Funds",,"2011 ",,"$ 11,330,889 ",
"Net Position","Unexpended Appropriations - Other Funds",,"2010",,"$ 11,548,234",
"Net Position","Cumulative Results of Operations - Earmarked Funds (Note 6)",,"2011 ",,"324,083 ",
"Net Position","Cumulative Results of Operations - Earmarked Funds (Note 6)",,"2010",,"335,454",
"Net Position","Cumulative Results of Operations - Other Funds",,"2011 ",,"348,639 ",
"Net Position","Cumulative Results of Operations - Other Funds",,"2010",,"324,725",
"Total Net Position",,"2011 ",,"12,003,611 ",,
"Total Net Position",,"2010",,"12,208,413",,
"Total Liabilities and Net Position",,"2011 ",,"$ 12,584,734",,
"Total Liabilities and Net Position",,"2010",,"$ 12,804,423",,
,,,,,,
"1",,,,,,
"Program Costs","Research and Related Activities","Gross Costs",,"2011 ",,"$ 6,004,357 "
"Program Costs","Research and Related Activities","Gross Costs",,"2010",,"$ 5,871,545"
"Program Costs","Research and Related Activities","Less: Earned Revenues",,"2011 ",,"(110,458) "
"Program Costs","Research and Related Activities","Less: Earned Revenues",,"2010",,"(93,667)"
"Program Costs","Net Research and Related Activities",,"2011 ",,"5,893,899 ",
"Program Costs","Net Research and Related Activities",,"2010",,"5,777,878",
"Program Costs","Education and Human Resources","Gross Costs",,"2011 ",,"$ 836,755 "
"Program Costs","Education and Human Resources","Gross Costs",,"2010",,"$ 775,422 "
"Program Costs","Education and Human Resources","Less: Earned Revenues",,"2011 ",,"(8,350)"
"Program Costs","Education and Human Resources","Less: Earned Revenues",,"2010",,"(8,859)"
"Program Costs","Net Education and Human Resources",,"2011 ",,"828,405",
"Program Costs","Net Education and Human Resources",,"2010",,"766,563",
"Program Costs","Major Research Equipment and Facilities Construction","Gross Costs",,"2011 ",,"$ 261,705 "
"Program Costs","Major Research Equipment and Facilities Construction","Gross Costs",,"2010",,"$ 178,840"
"Program Costs","Major Research Equipment and Facilities Construction","Less: Earned Revenues",,"2011 ",,"- "
"Program Costs","Major Research Equipment and Facilities Construction","Less: Earned Revenues",,"2010",,"-"
"Program Costs","Net Major Research Equipment and Facilities Construction",,"2011 ",,"261,705 ",
"Program Costs","Net Major Research Equipment and Facilities Construction",,"2010",,"178,840",
"Program Costs","Costs Not Assigned to Other Programs","Gross Costs",,"2011 ",,"$ 155,985"
"Program Costs","Costs Not Assigned to Other Programs","Gross Costs",,"2010",,"$ 171,825"
"Program Costs","Costs Not Assigned to Other Programs","Less: Earned Revenues",,"2011 ",,"-"
"Program Costs","Costs Not Assigned to Other Programs","Less: Earned Revenues",,"2010",,"-"
"Program Costs","Net Costs Not Assigned to Other Programs",,"2011 ",,"155,985",
"Program Costs","Net Costs Not Assigned to Other Programs",,"2010",,"171,825",
"Net Cost of Operations (Notes 7 and 13)",,"2011 ","$ 7,139,994",,,
"Net Cost of Operations (Notes 7 and 13)",,"2010","$ 6,895,106",,,
