"0",,,,,
"Facility Class","Operation & Training",,"Army",,"91.1 "
"Facility Class","Operation & Training",,"Navy",,"54.7"
"Facility Class","Operation & Training",,"Air Force",,"79.8"
"Facility Class","Operation & Training",,"Marine Corps",,"9.6"
"Facility Class","Operation & Training",,"WHS",,"0.0"
"Facility Class","Operation & Training",,"DoD",,"235.1"
"Facility Class","Maintenance & Production",,"Army",,"108.4"
"Facility Class","Maintenance & Production",,"Navy",,"79.6"
"Facility Class","Maintenance & Production",,"Air Force",,"124.9"
"Facility Class","Maintenance & Production",,"Marine Corps",,"19.7"
"Facility Class","Maintenance & Production",,"WHS",,"0.1"
"Facility Class","Maintenance & Production",,"DoD",,"332.7"
"Facility Class","Research, Development, Test, and Evaluation",,"Army",,"18.2"
"Facility Class","Research, Development, Test, and Evaluation",,"Navy",,"30.1"
"Facility Class","Research, Development, Test, and Evaluation",,"Air Force",,"23.1"
"Facility Class","Research, Development, Test, and Evaluation",,"Marine Corps",,"0.1"
"Facility Class","Research, Development, Test, and Evaluation",,"WHS",,"0.0"
"Facility Class","Research, Development, Test, and Evaluation",,"DoD",,"71.6"
"Facility Class","Supply",,"Army",,"192.0"
"Facility Class","Supply",,"Navy",,"82.9"
"Facility Class","Supply",,"Air Force",,"76.8"
"Facility Class","Supply",,"Marine Corps",,"24.1"
"Facility Class","Supply",,"WHS",,"0.1"
"Facility Class","Supply",,"DoD",,"375.9"
"Facility Class","Hospital & Medical",,"Army",,"26.9"
"Facility Class","Hospital & Medical",,"Navy",,"12.5"
"Facility Class","Hospital & Medical",,"Air Force",,"18.6"
"Facility Class","Hospital & Medical",,"Marine Corps",,"3.1"
"Facility Class","Hospital & Medical",,"WHS",,"0.0"
"Facility Class","Hospital & Medical",,"DoD",,"61.1"
"Facility Class","Administrative ",,"Army",,"105.1"
"Facility Class","Administrative ",,"Navy",,"49.7"
"Facility Class","Administrative ",,"Air Force",,"59.5"
"Facility Class","Administrative ",,"Marine Corps",,"13.9"
"Facility Class","Administrative ",,"WHS",,"15.2"
"Facility Class","Administrative ",,"DoD",,"243.5"
"Facility Class","Family Housing ",,"Army",,"214.1"
"Facility Class","Family Housing ",,"Navy",,"109.3"
"Facility Class","Family Housing ",,"Air Force",,"149.8"
"Facility Class","Family Housing ",,"Marine Corps",,"43.1"
"Facility Class","Family Housing ",,"WHS",,"0.0"
"Facility Class","Family Housing ",,"DoD",,"516.3"
"Facility Class","Troop Housing and Mess Facilities ",,"Army",,"133.9"
"Facility Class","Troop Housing and Mess Facilities ",,"Navy",,"55.6"
"Facility Class","Troop Housing and Mess Facilities ",,"Air Force",,"66.8"
"Facility Class","Troop Housing and Mess Facilities ",,"Marine Corps",,"28.6"
"Facility Class","Troop Housing and Mess Facilities ",,"WHS",,"0.0"
"Facility Class","Troop Housing and Mess Facilities ",,"DoD",,"284.9"
"Facility Class","Community Facilities ",,"Army",,"104.6"
"Facility Class","Community Facilities ",,"Navy",,"49.8"
"Facility Class","Community Facilities ",,"Air Force",,"76.8"
"Facility Class","Community Facilities ",,"Marine Corps",,"19.3"
"Facility Class","Community Facilities ",,"WHS",,"0.4"
"Facility Class","Community Facilities ",,"DoD",,"250.9"
"Facility Class","Utility & Ground Improvements",,"Army",,"10.5"
"Facility Class","Utility & Ground Improvements",,"Navy",,"5.9"
"Facility Class","Utility & Ground Improvements",,"Air Force",,"5.5"
"Facility Class","Utility & Ground Improvements",,"Marine Corps",,"1.0"
"Facility Class","Utility & Ground Improvements",,"WHS",,"0.0"
"Facility Class","Utility & Ground Improvements",,"DoD",,"22.9"
"Total",,"Army",,"1,004.8",
"Total",,"Navy",,"530.1",
"Total",,"Air Force",,"681.7",
"Total",,"Marine Corps",,"162.5",
"Total",,"WHS",,"15.7",
"Total",,"DoD",,"2,394.8",
