"0",,,,,
"Project","Nanotechnology and its publics",,"Agency",,"NSF"
"Project","Nanotechnology and its publics",,"Institution",,"Pennsylvania State University"
"Project","Public information and deliberation in nanoscience and
nanotechnology policy (SGER)",,"Agency",,"Interagency"
"Project","Public information and deliberation in nanoscience and
nanotechnology policy (SGER)",,"Institution",,"North Carolina State
University"
"Project","Social and ethical research and education in agrifood 
nanotechnology (NIRT)",,"Agency",,"NSF"
"Project","Social and ethical research and education in agrifood 
nanotechnology (NIRT)",,"Institution",,"Michigan State University"
"Project","From laboratory to society: developing an informed 
approach to nanoscale science and engineering (NIRT)",,"Agency",,"NSF"
"Project","From laboratory to society: developing an informed 
approach to nanoscale science and engineering (NIRT)",,"Institution",,"University of South Carolina"
"Project","Database and innovation timeline for nanotechnology",,"Agency",,"NSF"
"Project","Database and innovation timeline for nanotechnology",,"Institution",,"UCLA"
"Project","Social and ethical dimensions of nanotechnology",,"Agency",,"NSF"
"Project","Social and ethical dimensions of nanotechnology",,"Institution",,"University of Virginia"
"Project","Undergraduate exploration of nanoscience, 
applications and societal implications (NUE)",,"Agency",,"NSF"
"Project","Undergraduate exploration of nanoscience, 
applications and societal implications (NUE)",,"Institution",,"Michigan Technological
University"
"Project","Ethics and belief inside the development of 
nanotechnology (CAREER)",,"Agency",,"NSF"
"Project","Ethics and belief inside the development of 
nanotechnology (CAREER)",,"Institution",,"University of Virginia"
"Project","All centers, NNIN and NCN have a societal 
implications components",,"Agency",,"NSF, DOE, 
DOD, and NIH 
"
"Project","All centers, NNIN and NCN have a societal 
implications components",,"Institution",,"All nanotechnology centers
and networks"
