"0",,,,,
"Net Financial Condition","Assets",,"FY 2011 ",,"$12,584,734 "
"Net Financial Condition","Assets",,"FY 2010 ",,"$12,804,423 "
"Net Financial Condition","Assets",,"Increase/ (Decrease) ",,"($219,689) "
"Net Financial Condition","Assets",,"% Change",,"-1.7%"
"Net Financial Condition","Liabilities",,"FY 2011 ",,"$581,123 "
"Net Financial Condition","Liabilities",,"FY 2010 ",,"$596,010 "
"Net Financial Condition","Liabilities",,"Increase/ (Decrease) ",,"(14,887) "
"Net Financial Condition","Liabilities",,"% Change",,"-2.5%"
"Net Financial Condition","Net Position",,"FY 2011 ",,"$12,003,611 "
"Net Financial Condition","Net Position",,"FY 2010 ",,"$12,208,413 "
"Net Financial Condition","Net Position",,"Increase/ (Decrease) ",,"($204,802) "
"Net Financial Condition","Net Position",,"% Change",,"-1.7%"
"Net Financial Condition","Net Cost",,"FY 2011 ",,"$7,139,994 "
"Net Financial Condition","Net Cost",,"FY 2010 ",,"$6,895,106 "
"Net Financial Condition","Net Cost",,"Increase/ (Decrease) ",,"$244,888 "
"Net Financial Condition","Net Cost",,"% Change",,"3.6%"
